RPM,power
1123.3761,2.0665
1539.1071,2.1818
1717.8513,2.2107
1886.5537,2.2863
1981.9509,2.3512
2171.7411,2.4701
2310.3181,2.5742
2431.4892,2.6166
2566.9867,2.7353
2718.0155,2.8472
2832.0905,2.9255
3003.2029,3.0619
3123.7046,3.1879
3285.5212,3.3678
3434.5991,3.5309
3605.7115,3.7205
3752.7236,3.8163
3890.8989,3.9006
3999.3505,3.9714
4193.4921,4.0963
4304.6215,4.1564
4447.5021,4.2521
4611.9009,4.3438
4810.7287,4.475
4948.1006,4.5744
5099.9328,4.6789
5218.4262,4.7641
5367.4466,4.8814
5481.5216,4.9215
5697.277,5.0654
5828.9682,5.1383
6036.2311,5.2561
6187.1261,5.303
6323.0252,5.3527
6449.552,5.3945
6576.0788,5.4516
6832.145,5.45
7190.6376,5.4482
7811.2214,5.452
7955.8235,5.4199
8097.413,5.3995
8269.128,5.3805
8405.1228,5.3578
