RPM,power
153.3373,0.9639
267.8139,1.0384
424.4662,1.1369
591.4471,1.2495
804.0466,1.4396
1180.6145,1.7576
1295.0911,1.7476
1448.7308,1.7134
1629.4834,1.6702
1794.169,1.6353
1946.8045,1.6798
2190.6771,1.7639
2335.2791,1.8112
2424.7947,1.8378
2575.4218,1.8395
2780.2747,1.8636
3037.632,1.9011
3239.3863,2.0017
3362.6997,2.0653
3593.6613,2.1938
3702.1129,2.2323
3856.7568,2.2971
3986.7982,2.3485
4164.0361,2.4221
4292.5713,2.4503
4485.374,2.5115
4629.9761,2.5422
4783.0133,2.5818
4903.1133,2.6455
5015.5816,2.7103
5220.4345,2.816
5350.5764,2.8895
5495.1784,2.9227
5634.1571,2.9553
5780.7675,2.9926
5963.5284,3.0162
6069.9716,3.0394
6251.9292,3.0553
6425.4517,3.0706
6599.3185,3.0974
6790.3998,3.1012
6895.4084,3.1053
7060.4957,3.1316
7164.5289,3.1499
