RPM,power
111.1617,0.9712
291.9143,1.1729
1135.4263,2.1098
1448.7308,2.2323
1709.8178,2.3644
1828.3112,2.4269
2021.1139,2.5362
2187.808,2.619
2355.5062,2.7151
2563.3717,2.8953
2683.8734,3.0106
2967.0524,3.2988
3208.0558,3.6375
3340.6077,3.8105
3455.0844,3.9618
3699.1003,4.2321
3890.8989,4.411
4027.4675,4.5359
4214.2452,4.7113
4373.91,4.8662
4539.5998,5.0572
4724.3691,5.2686
4858.9294,5.3815
4985.4562,5.4391
5160.1837,5.5148
5355.999,5.6409
5481.5216,5.665
5654.2407,5.8225
5726.5417,5.8787
5979.5953,6.0774
6051.8964,6.1454
6232.6489,6.2222
6577.2839,6.4163
6757.6921,6.4583
6898.4209,6.5201
7027.9603,6.5634
7214.7379,6.6162
7425.6159,6.657
7571.7243,6.6669
7684.0252,6.6674
7837.3301,6.7039
7955.8235,6.7651
8172.7266,6.8924
8287.2032,6.9687
8419.7551,7.0174
