Pa1 Ca1 Ca2 Pa2 Ca3 Pa3 Mgi Pa4 Pa5 FeClTi Pa6 CSi Paeps Ti TiOA TiOB FeH Pad FeTi Fe VO Siy CN Sr Pagamma Na FeCr K1A C K1B Mgj Sij SiMg K2A K2B PaB Al Mg1h Mg2h K1 Fe1 Br16 CO1 Br15 Mg3 FeH1 Sih CO2 Fe2 Br13 CO3 FeH2 CO4 Fe3 CO5 All Br11 COMg Br10 FeI Brdelta Ca1k Fe23 Sik Ca2k Ca3k Ca4k MgIk Brgamma Nadk FeA FeB Cad Mg2k CO12
847.4 847.4 847.4 856.3 861.9 870 877.6 881.5 898.3 904 915.2 939 949.8 975 980 984 984 1002 1019.8 1019.8 1043.8 1064 1064 1089.2 1089.2 1132 1156 1156 1171.6 1171.6 1180.5 1191 1205 1235 1246 1275.5 1305 1483 1491 1510 1523 1548 1548 1548 1548 1548 1548 1593 1593 1593 1616 1616 1634 1634 1658.5 1658.5 1677.5 1692 1725 1922 1922 1922 1922 1922 1922 1922 1922 2100 2090.7 2193.4 2213.3 2213.3 2251.6 2270 2251.6
848.4 848.4 848.4 857.7 864.2 872.5 879.2 885 899.8 905 916.5 939.9 950.4 976 981 985 985 1003 1021 1021 1044.6 1065 1065 1090.2 1090.2 1134 1158.5 1158.5 1174.6 1174.6 1181.5 1193.5 1207 1238 1249 1278 1307.5 1485 1500 1512 1525 1550 1550 1550 1550 1550 1550 1594 1594 1594 1618 1618 1637 1637 1660.5 1660.5 1679 1696 1728 1926 1926 1926 1926 1926 1926 1926 1926 2104 2095.1 2199.6 2217.6 2217.6 2259 2272 2259
856.3 856.3 856.3 861.9 870 877.6 881.5 889 904 912.5 926.5 942.5 960.6 980 984 998.5 998.5 1006.7 1043.8 1043.8 1064 1089.2 1089.2 1097.8 1097.8 1143 1171.6 1171.6 1180.5 1180.5 1185.5 1205 1215 1246 1256 1285.5 1323 1491 1510 1523 1548 1593 1593 1593 1593 1593 1593 1616 1616 1616 1634 1634 1658.5 1658.5 1677.5 1677.5 1682.5 1714 1744 2003 2003 2003 2003 2003 2003 2003 2003 2111 2287.3 2215 2243.7 2243.7 2271.6 2285 2271.6
857.7 857.7 857.7 864.2 872.5 879.2 885 890 905 913.5 927.5 943.4 961.4 981 985 999.5 999.5 1007.7 1044.6 1044.6 1065 1090.2 1090.2 1098.8 1098.8 1146 1174.6 1174.6 1181.5 1181.5 1187.5 1207 1218 1249 1258 1287.3 1325 1500 1512 1525 1550 1594 1594 1594 1594 1594 1594 1618 1618 1618 1637 1637 1660.5 1660.5 1679 1679 1683.5 1716 1748 2010 2010 2010 2010 2010 2010 2010 2010 2115 2290 2219 2247.9 2247.9 2288.8 2287.4 2288.8
846.1 848.4 852.2 857.7 864.2 873 880.2 885 900 908 921.7 940 953.5 978 981.2 988.5 990 1004 1039 1042 1045.6 1067.6 1086.8 1091.3 1093 1135.8 1160 1167 1174.6 1176.5 1182 1197.7 1207 1241.5 1249.5 1279.5 1311.5 1485 1500 1515 1528 1552 1557 1567 1573 1582 1587 1595 1605 1610 1618 1624 1639 1651 1660.5 1670.5 1679 1705 1735 1929.7 1942.5 1950 1958.3 1970.8 1976.9 1984.7 1991.7 2104 2163.9 2200 2225 2236.8 2259.4 2279.5 2291
847.4 851.3 856.2 861.9 868.2 877.2 881.1 889 903 910 925.5 942.4 957 979.5 982.6 990 995 1006.7 1040.8 1043.6 1048.8 1070.2 1088.2 1092.3 1095 1142.8 1162.4 1171.4 1176.5 1180 1184 1200.4 1209.5 1245.5 1254 1284 1316.8 1491 1508 1520 1533 1557 1563.5 1572 1580 1586 1591 1600 1609 1614 1622 1628 1647 1658 1664 1677.5 1682.5 1713 1739 1932.7 1947 1952.6 1965.6 1974.8 1979.5 1988.1 1994.3 2111 2168.6 2214 2229.9 2241.4 2270 2284.5 2307
