stopword
aham
āvām
vayam
mām
mā
āvām
asmān
naḥ
mayā
āvābhyām
asmābhis
mahyam
me
āvābhyām
nau
asmabhyam
naḥ
mat
āvābhyām
asmat
mama
me
āvayoḥ
asmākam
naḥ
mayi
āvayoḥ
asmāsu
tvam
yuvām
yūyam
tvām
tvā
yuvām
vām
yuṣmān
vaḥ
tvayā
yuvābhyām
yuṣmābhiḥ
tubhyam
te
yuvābhyām
vām
yuṣmabhyam
vaḥ
tvat
yuvābhyām
yuṣmat
tava
te
yuvayoḥ
vām
yuṣmākam
vaḥ
tvayi
yuvayoḥ
yuṣmāsu
saḥ
tau
te
tam
tau
tān
tena
tābhyām
taiḥ
tasmai
tābhyām
tebhyaḥ
tasmāt
tābhyām
tebhyaḥ
tasya
tayoḥ
teṣām
tasmin
tayoḥ
teṣu
sā
te
tāḥ
tām
te
tāḥ
tayā
tābhyām
tābhiḥ
tasyai
tābhyām
tābhyaḥ
tasyāḥ
tābhyām
tābhyaḥ
tasya
tayoḥ
tāsām
tasyām
tayoḥ
tāsu
tat
te
tāni
tat
te
tāni
tayā
tābhyām
tābhiḥ
tasyai
tābhyām
tābhyaḥ
tasyāḥ
tābhyām
tābhyaḥ
tasya
tayoḥ
tāsām
tasyām
tayoḥ
tāsu
ayam
imau
ime
imam
imau
imān
anena
ābhyām
ebhiḥ
asmai
ābhyām
ebhyaḥ
asmāt
ābhyām
ebhyaḥ
asya
anayoḥ
eṣām
asmin
anayoḥ
eṣu
iyam
ime
imāḥ
imām
ime
imāḥ
anayā
ābhyām
ābhiḥ
asyai
ābhyām
ābhyaḥ
asyāḥ
ābhyām
ābhyaḥ
asyāḥ
anayoḥ
āsām
asyām
anayoḥ
āsu
idam
ime
imāni
idam
ime
imāni
anena
ābhyām
ebhiḥ
asmai
ābhyām
ebhyaḥ
asmāt
ābhyām
ebhyaḥ
asya
anayoḥ
eṣām
asmin
anayoḥ
eṣu
eṣaḥ
etau
ete
etam
enam
etau
enau
etān
enān
etena
etābhyām
etaiḥ
etasmai
etābhyām
etebhyaḥ
etasmāt
etābhyām
etebhyaḥ
etasya
etasmin
eteṣām
etasmin
etasmin
eteṣu
eṣā
ete
etāḥ
etām
enām
ete
ene
etāḥ
enāḥ
etayā
enayā
etābhyām
etābhiḥ
etasyai
etābhyām
etābhyaḥ
etasyāḥ
etābhyām
etābhyaḥ
etasyāḥ
etayoḥ
enayoḥ
etāsām
etasyām
etayoḥ
enayoḥ
etāsu
etat
etad
ete
etāni
etat
etad
enat
enad
ete
ene
etāni
enāni
etena
enena
etābhyām
etaiḥ
etasmai
etābhyām
etebhyaḥ
etasmāt
etābhyām
etebhyaḥ
etasya
etayoḥ
enayoḥ
eteṣām
etasmin
etayoḥ
enayoḥ
eteṣu
asau
amū
amī
amūm
amū
amūn
amunā
amūbhyām
amībhiḥ
amuṣmai
amūbhyām
amībhyaḥ
amuṣmāt
amūbhyām
amībhyaḥ
amuṣya
amuyoḥ
amīṣām
amuṣmin
amuyoḥ
amīṣu
asau
amū
amūḥ
amūm
amū
amūḥ
amuyā
amūbhyām
amūbhiḥ
amuṣyai
amūbhyām
amūbhyaḥ
amuṣyāḥ
amūbhyām
amūbhyaḥ
amuṣyāḥ
amuyoḥ
amūṣām
amuṣyām
amuyoḥ
amūṣu
amu
amunī
amūni
amu
amunī
amūni
amunā
amūbhyām
amībhiḥ
amuṣmai
amūbhyām
amībhyaḥ
amuṣmāt
amūbhyām
amībhyaḥ
amuṣya
amuyoḥ
amīṣām
amuṣmin
amuyoḥ
amīṣu
kaḥ
kau
ke
kam
kau
kān
kena
kābhyām
kaiḥ
kasmai
kābhyām
kebhya
kasmāt
kābhyām
kebhya
kasya
kayoḥ
keṣām
kasmin
kayoḥ
keṣu
kā
ke
kāḥ
kām
ke
kāḥ
kayā
kābhyām
kābhiḥ
kasyai
kābhyām
kābhyaḥ
kasyāḥ
kābhyām
kābhyaḥ
kasyāḥ
kayoḥ
kāsām
kasyām
kayoḥ
kāsu
kim
ke
kāni
kim
ke
kāni
kena
kābhyām
kaiḥ
kasmai
kābhyām
kebhya

kābhyām
kebhya
kasya
kayoḥ
keṣām
kasmin
kayoḥ
keṣu
bhavān
bhavantau
bhavantaḥ
bhavantam
bhavantau
bhavataḥ
bhavatā
bhavadbhyām
bhavadbhiḥ
bhavate
bhavadbhyām
bhavadbhyaḥ
bhavataḥ
bhavadbhyām
bhavadbhyaḥ
bhavataḥ
bhavatoḥ
bhavatām
bhavati
bhavatoḥ
bhavatsu
bhavatī
bhavatyau
bhavatyaḥ
bhavatīm
bhavatyau
bhavatīḥ
bhavatyā
bhavatībhyām
bhavatībhiḥ
bhavatyai
bhavatībhyām
bhavatībhiḥ
bhavatyāḥ
bhavatībhyām
bhavatībhiḥ
bhavatyāḥ
bhavatyoḥ
bhavatīnām
bhavatyām
bhavatyoḥ
bhavatīṣu
bhavat
bhavatī
bhavanti
bhavat
bhavatī
bhavanti
bhavatā
bhavadbhyām
bhavadbhiḥ
bhavate
bhavadbhyām
bhavadbhyaḥ
bhavataḥ
bhavadbhyām
bhavadbhyaḥ
bhavataḥ
bhavatoḥ
bhavatām
bhavati
bhavatoḥ
bhavatsu
aye
are
arere
avidhā
asādhunā
astobha
ahaha
ahāvas
ām
āryahalam
āha
āho
is
um
uve
kām
kum
camat
ṭasat
dṛn
dhik
pāṭ
phat
phāṭ
phuḍut
bata
bāl
vaṭ
vyavastobhati
vyavastubh
ṣāṭ
stobha
hummā
hūm
ati
adhi
anu
apa
api
abhi
ava
ā
ud
upa
ni
nir
parā
pari
pra
prati
vi
sam
athavā
uta
anyathā
iva
ca
cet
yadi
tu
parantu
yataḥ
karaṇena
hi
yatas
yadartham
yadarthe
yarhi
yathā
