flowobject_from,flowobject_to,classification_from,classification_to,comment,skos_uri
fi_4112,raw_steel,bonsai,usgs,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_41118,pig_iron_and_direct-reduced_iron,bonsai,usgs,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_41111,pig_iron,bonsai,usgs,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_41116,direct-reduced_iron,bonsai,usgs,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_2523_21,hydraulic_cement,bonsai,usgs,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
