Foscor;Fiar,Albert Martí,Wilkhiem,Norax
Dawn ov Hate;Fiar,Javi Bastard
Lux Divina;Fiar,Javi Bastard,Norax
The Bleeding Sun;Marc Tébar,Javi Bastard,Julkarn
Maleït;Marc Tébar,Jordi Parareda,Carles Olivé,Wilkhiem
Of Darkness;Javi Bastard,Julkarn
Asgaroth;Julkarn
Graveyard;Javi Bastard,Julkarn
From Nowhere;Julkarn
Vidres a la Sang;Albert Martí,Carles Olivé
Fire of Revenge;Jordi Parareda,Albert Martí
Shemhamphorash;Wilkhiem
