RPM,power
259.7805,1.1249
432.4996,1.2738
573.8883,1.3999
799.5278,1.6269
1052.5814,1.8882
1198.0872,2.0074
1559.5924,2.0089
1786.1356,1.9667
2078.7826,2.151
2238.017,2.2503
2388.6442,2.3404
2543.288,2.4124
2671.8232,2.4809
2780.2747,2.535
2997.1778,2.6638
3140.9192,2.7625
3244.2064,2.8448
3481.1931,3.037
3597.6781,3.1103
3762.3637,3.2253
3888.8905,3.2988
3991.317,3.3637
4212.7389,3.5024
4373.4796,3.5593
4482.964,3.6087
4642.0263,3.6736
4803.8429,3.7621
5030.0418,3.8768
5111.983,3.9258
5318.3422,4.0429
5418.0573,4.1045
5549.8059,4.1612
5666.2909,4.2141
5855.0769,4.2909
6003.6957,4.3643
6127.2099,4.3834
6268.7995,4.4101
6394.1212,4.4331
6578.661,4.4371
6811.0572,4.4879
7162.5205,4.5215
