region_id;annee;nb_usagers_home;heures_tot_trav_inf_home;heures_tot_trav_inf_rpa;heures_tot_trav_inf_ri;heures_tot_trav_avq_home;heures_tot_trav_avq_rpa;heures_tot_trav_avd_home;heures_tot_trav_avd_rpa;nb_etc_inf_home;nb_etc_inf_rpa;nb_etc_inf_ri;nb_etc_avq_home;nb_etc_avq_rpa;nb_etc_avd_home;nb_etc_avd_rpa;hrs_sa_inf_prive_home;hrs_sa_avd_eesad_home;hrs_sa_avd_eesad_rpa;hrs_sa_avq_eesad_home;hrs_sa_avq_eesad_rpa;hrs_sa_avd_prive_home;hrs_sa_avd_prive_rpa;hrs_sa_avq_prive_home;hrs_sa_avq_prive_rpa;tx_hrs_dep_inf;tx_hrs_dep_avq;tx_hrs_dep_avd;tx_hrs_admin_inf;tx_hrs_admin_avq;tx_hrs_admin_avd;sal_inf;sal_avq;sal_avd;cout_hr_serv_inf;cout_hr_serv_avq;cout_hr_serv_avd;cout_hr_achete_prive_inf;cout_hr_achete_prive_avq;cout_hr_achete_prive_avd;cout_hr_achete_eesad_avd;cout_residuel
1;2019;2513.667;106756.61;96418.635;21493.574;135551.96;77226.345;405.25113;234.11069;71.492557;64.569441;14.393774;88.061937;50.17044;.2632732;.15209105;1270.2;179365.7;8;46405.86;3990.92;1511.24;3489.92;15291.6;92820.29;.06669;.0526626;.0526626;.7169848;.6760982;.6760982;50.3836;18.20341;18.20341;232.9068;67.11199;67.11199;302.598;30.71286;30.71286;5.983708;5297.456
2;2019;3018.167;86155.926;44812.368;13072.921;31918.951;21994.263;3676.1383;1485.5844;64.313426;33.451407;9.7586363;21.944378;15.121124;2.5273565;1.0213439;272.07;144089.4;3502.82;92186.52;8756.52;283;1603.26;24687.37;74018.65;.0998055;.1284051;.1284051;.5323542;.0833374;.0833374;79.80123;54.87719;54.87719;216.9453;69.61835;69.61835;10.49362;34.69954;34.69954;8.605301;5584.692
3;2019;4081.167;209624.66;92980.499;66531.073;271756.74;82692.773;3257.4926;437.65592;140.94861;62.518751;44.734537;187.72877;57.123929;2.2502665;.30233145;29.85;44884.97;1859.73;101728.7;6778.06;28668.03;4500.38;48489.5;1016049;.060557;.0675788;.0675788;.646432;.4191184;.4191184;60.59829;40.37395;40.37395;206.8124;78.65524;78.65524;50.11725;22.56373;22.56373;10.27798;7728.968
4;2019;3853.167;151400.91;77107.591;49633.446;232624.33;149038.88;5489.355;314.84927;98.25958;50.043023;32.212233;155.17341;99.417252;3.6617061;.21002203;24;37219.8;2313.57;52402.46;9463.85;4049.97;889.89;15945.91;324268.8;.0976133;.1295298;.1295298;.6338027;.2483832;.2483832;63.91056;38.31618;38.31618;237.9537;61.59297;61.59297;283.1099;10.24413;10.24413;6.72178;6246.676
5;2019;3068.583;150740.91;111137.94;14931.616;275595.96;42766.361;7124.4064;1665.2078;99.776389;73.562922;9.8833334;186.40946;28.9266;4.8188541;1.1263245;6.24;942.92;456;1169.25;235.25;63720.14;33991.84;56223.73;231184.1;.0849199;.0861288;.0861288;.6150789;.3193578;.3193578;60.57365;38.18424;38.18424;201.9114;64.22772;64.22772;263.6218;9.935988;9.935988;8.658235;8559.789
6;2019;22164.67;1070081.8;121380.19;11807.727;3019593;327043.67;215996.8;11174.759;721.90234;81.885929;7.9657699;2010.6127;217.76384;143.82267;7.4407751;1760.27;71147.25;404;18542.71;6650.37;914;20465.95;21013.46;305389.8;.0467427;.0625938;.0625938;.6460328;.3030336;.3030336;65.17135;25.96583;25.96583;212.1294;40.93151;40.93151;77.09328;24.4845;24.4845;7.890406;6153.667
7;2019;2643.667;87331.287;16662.913;21638.69;109208.7;32066.897;6883.9909;54.167194;61.135828;11.664788;15.148056;81.016248;23.788762;5.1068746;.04018382;1.33;18644.66;0;9236.32;4.69;3285;0;23511.05;240815;.0872638;.1122989;.1122989;.5735366;.2507842;.2507842;68.27464;39.34398;39.34398;201.2816;61.77254;61.77254;319.5489;21.5481;21.5481;7.034171;7337.028
8;2019;1630.75;59533.381;28699.518;15263.33;65332.762;45938.079;543.70366;219.78117;43.650502;21.042789;11.191235;45.265501;31.827984;.37670255;.15227436;607.6;93146.52;1619.3;64394.56;55994.51;3619.72;549.25;8380.71;21392.36;.1095058;.1781577;.1781577;.5885245;.2869921;.2869921;74.6491;42.24739;42.24739;247.2072;78.98921;78.98921;26.53061;23.50891;23.50891;5.725504;6138.834
9;2019;1209.25;54152.112;4805.8946;5763.6413;74269.927;10034.167;1300.8593;76.297687;36.223651;3.2147785;3.8554383;47.369332;6.399788;.8296876;.04866264;540.21;56134.06;635.5;31755.35;1425.74;0;492.49;0;21280.3;.1295207;.2683825;.2683825;.6158847;.1156093;.1156093;69.95765;40.77167;40.77167;274.7806;66.18689;66.18689;283.1099;27.14781;27.14781;6.347481;6751.393
10;2019;120.3333;6851.9645;3225.6834;1523.2432;8739.9909;3259.5596;3147.8886;37.573628;5.9101324;2.7822993;1.3138668;6.3170855;2.3559426;2.2752291;.02715744;2.5;5423.79;513.66;3156.69;644.79;490.16;181.75;450.32;2425.72;.0940039;.3052225;.3052225;.7232609;.113785;.113785;78.05576;38.50394;38.50394;427.1525;66.27268;66.27268;178;26.10913;26.10913;5.782756;7753.022
11;2019;1724.583;68700.909;14464.919;9413.8104;81714.378;19382.229;153.49076;11.414984;44.108692;9.2870482;6.0440374;55.748322;13.223214;.10471661;.00778769;29.66;16556.02;1548.97;215763.9;27346.28;491.16;24.52;21074.82;67959.76;.1223161;.1645445;.1645445;.5543252;.1486389;.1486389;65.83144;37.33205;37.33205;203.5864;54.3552;54.3552;283.1099;18.21797;18.21797;4.481173;4817.903
12;2019;2549;80914.973;79490.467;10205.367;99244.543;74087.581;2337.444;67.971333;54.458269;53.499533;6.8685267;68.477795;51.119729;1.6128142;.04689958;39.54;63960.06;1398.41;170768.6;52128;264;15209.39;4828.49;448816.2;.1197045;.1325503;.1325503;.5876227;.1842205;.1842205;66.6331;33.04971;33.04971;227.671;48.37279;48.37279;283.1099;19.51161;19.51161;7.044384;6501.126
13;2019;4579.25;190750.51;19785.165;13336.353;498813.79;18516.155;21855.98;177.37473;133.86981;13.885344;9.3595295;345.3238;12.818549;15.130677;.12279475;.67;5352.5;0;8625.04;793.16;365;373.91;15416.78;17430.32;.065878;.0841772;.0841772;.5991506;.4084788;.4084788;64.07312;22.99165;22.99165;191.2794;45.31767;45.31767;283.1099;84.47659;84.47659;9.772414;7016.741
14;2019;3736.083;142459.37;39596.945;34822.815;288063.46;76542.722;11720.591;711.96918;94.57586;26.287601;23.118154;193.92864;51.529707;7.8904776;.47930832;4.9;778.25;144;182062.8;45.43;0;1016.06;24635.64;300181.9;.0768292;.1144936;.1144936;.6258332;.3427582;.3427582;67.98428;35.44553;35.44553;228.6433;65.30751;65.30751;204.6939;21.61856;21.61856;7.417199;6481.321
