region_id;iso_smaf;gr_age;choice;AVD;prob;hrs_pefsad
1;1;1;0;0;.2870625;87.70621
1;1;1;0;1;.9837808;193.1338
1;1;1;1;0;.6206015;150.0957
1;1;1;1;1;.8401055;203.1353
1;1;1;2;0;.6206015;150.0957
1;1;1;2;1;.8401055;203.1353
1;1;1;3;0;.6206015;150.0957
1;1;1;3;1;.8401055;203.1353
1;1;2;0;0;.2870625;87.70621
1;1;2;0;1;.9837808;193.1338
1;1;2;1;0;.6206015;150.0957
1;1;2;1;1;.8401055;203.1353
1;1;2;2;0;.6206015;150.0957
1;1;2;2;1;.8401055;203.1353
1;1;2;3;0;.6206015;150.0957
1;1;2;3;1;.8401055;203.1353
1;1;3;0;0;.3044779;89.54544
1;1;3;0;1;.9775047;189.8463
1;1;3;1;0;.5395651;91.6901
1;1;3;1;1;.7900958;187.8776
1;1;3;2;0;.5395651;91.6901
1;1;3;2;1;.7900958;187.8776
1;1;3;3;0;.5395651;91.6901
1;1;3;3;1;.7900958;187.8776
1;2;1;0;0;.2964346;87.70621
1;2;1;0;1;.977618;193.1338
1;2;1;1;0;.5408476;150.0957
1;2;1;1;1;.7909508;203.1353
1;2;1;2;0;.5408476;150.0957
1;2;1;2;1;.7909508;203.1353
1;2;1;3;0;.5408476;150.0957
1;2;1;3;1;.7909508;203.1353
1;2;2;0;0;.2964346;87.70621
1;2;2;0;1;.977618;193.1338
1;2;2;1;0;.5408476;150.0957
1;2;2;1;1;.7909508;203.1353
1;2;2;2;0;.5408476;150.0957
1;2;2;2;1;.7909508;203.1353
1;2;2;3;0;.5408476;150.0957
1;2;2;3;1;.7909508;203.1353
1;2;3;0;0;.314168;89.54544
1;2;3;0;1;.9690322;189.8463
1;2;3;1;0;.457663;91.6901
1;2;3;1;1;.7304991;187.8776
1;2;3;2;0;.457663;91.6901
1;2;3;2;1;.7304991;187.8776
1;2;3;3;0;.457663;91.6901
1;2;3;3;1;.7304991;187.8776
1;3;1;0;0;.1524368;87.70621
1;3;1;0;1;.9633357;193.1338
1;3;1;1;0;.4147151;150.0957
1;3;1;1;1;.6947464;203.1353
1;3;1;2;0;.4147151;150.0957
1;3;1;2;1;.6947464;203.1353
1;3;1;3;0;.4147151;150.0957
1;3;1;3;1;.6947464;203.1353
1;3;2;0;0;.1524368;87.70621
1;3;2;0;1;.9633357;193.1338
1;3;2;1;0;.4147151;150.0957
1;3;2;1;1;.6947464;203.1353
1;3;2;2;0;.4147151;150.0957
1;3;2;2;1;.6947464;203.1353
1;3;2;3;0;.4147151;150.0957
1;3;2;3;1;.6947464;203.1353
1;3;3;0;0;.1635585;89.54544
1;3;3;0;1;.949554;189.8463
1;3;3;1;0;.3367041;91.6901
1;3;3;1;1;.6198459;187.8776
1;3;3;2;0;.3367041;91.6901
1;3;3;2;1;.6198459;187.8776
1;3;3;3;0;.3367041;91.6901
1;3;3;3;1;.6198459;187.8776
1;4;1;0;0;.2824658;94.8003
1;4;1;0;1;.9832895;208.7619
1;4;1;1;0;.6134316;229.6726
1;4;1;1;1;.8359874;223.1239
1;4;1;2;0;.6134316;229.6726
1;4;1;2;1;.8359874;223.1239
1;4;1;3;0;.6134316;229.6726
1;4;1;3;1;.8359874;223.1239
1;4;2;0;0;.2824658;94.8003
1;4;2;0;1;.9832895;208.7619
1;4;2;1;0;.6134316;229.6726
1;4;2;1;1;.8359874;223.1239
1;4;2;2;0;.6134316;229.6726
1;4;2;2;1;.8359874;223.1239
1;4;2;3;0;.6134316;229.6726
1;4;2;3;1;.8359874;223.1239
1;4;3;0;0;.2997197;90.25361
1;4;3;0;1;.9768277;98.27266
1;4;3;1;0;.5320186;153.3948
1;4;3;1;1;.7850195;263.585
1;4;3;2;0;.5320186;153.3948
1;4;3;2;1;.7850195;263.585
1;4;3;3;0;.5320186;153.3948
1;4;3;3;1;.7850195;263.585
1;5;1;0;0;.114335;117.1067
1;5;1;0;1;.967641;260.7642
1;5;1;1;0;.4464222;212.3373
1;5;1;1;1;.7214717;163.7012
1;5;1;2;0;.4464222;212.3373
1;5;1;2;1;.7214717;163.7012
1;5;1;3;0;.4464222;212.3373
1;5;1;3;1;.7214717;163.7012
1;5;2;0;0;.114335;117.1067
1;5;2;0;1;.967641;260.7642
1;5;2;1;0;.4464222;212.3373
1;5;2;1;1;.7214717;163.7012
1;5;2;2;0;.4464222;212.3373
1;5;2;2;1;.7214717;163.7012
1;5;2;3;0;.4464222;212.3373
1;5;2;3;1;.7214717;163.7012
1;5;3;0;0;.1230805;112.2222
1;5;3;0;1;.9554027;106.6374
1;5;3;1;0;.3661784;125.259
1;5;3;1;1;.6498236;194.3704
1;5;3;2;0;.3661784;125.259
1;5;3;2;1;.6498236;194.3704
1;5;3;3;0;.3661784;125.259
1;5;3;3;1;.6498236;194.3704
1;6;1;0;0;.1469757;94.8003
1;6;1;0;1;.9576143;208.7619
1;6;1;1;0;.3786054;229.6726
1;6;1;1;1;.6618253;223.1239
1;6;1;2;0;.3786054;229.6726
1;6;1;2;1;.6618253;223.1239
1;6;1;3;0;.3786054;229.6726
1;6;1;3;1;.6618253;223.1239
1;6;2;0;0;.1469757;94.8003
1;6;2;0;1;.9576143;208.7619
1;6;2;1;0;.3786054;229.6726
1;6;2;1;1;.6618253;223.1239
1;6;2;2;0;.3786054;229.6726
1;6;2;2;1;.6618253;223.1239
1;6;2;3;0;.3786054;229.6726
1;6;2;3;1;.6618253;223.1239
1;6;3;0;0;.1577731;90.25361
1;6;3;0;1;.9418119;98.27266
1;6;3;1;0;.3038604;153.3948
1;6;3;1;1;.5836874;263.585
1;6;3;2;0;.3038604;153.3948
1;6;3;2;1;.5836874;263.585
1;6;3;3;0;.3038604;153.3948
1;6;3;3;1;.5836874;263.585
1;7;1;0;0;.0969814;117.1067
1;7;1;0;1;.9673184;260.7642
1;7;1;1;0;.44389;212.3373
1;7;1;1;1;.7194069;163.7012
1;7;1;2;0;.44389;212.3373
1;7;1;2;1;.7194069;163.7012
1;7;1;3;0;.44389;212.3373
1;7;1;3;1;.7194069;163.7012
1;7;2;0;0;.0969814;117.1067
1;7;2;0;1;.9673184;260.7642
1;7;2;1;0;.44389;212.3373
1;7;2;1;1;.7194069;163.7012
1;7;2;2;0;.44389;212.3373
1;7;2;2;1;.7194069;163.7012
1;7;2;3;0;.44389;212.3373
1;7;2;3;1;.7194069;163.7012
1;7;3;0;0;.1045562;112.2222
1;7;3;0;1;.9549638;106.6374
1;7;3;1;0;.3638022;125.259
1;7;3;1;1;.6474871;194.3704
1;7;3;2;0;.3638022;125.259
1;7;3;2;1;.6474871;194.3704
1;7;3;3;0;.3638022;125.259
1;7;3;3;1;.6474871;194.3704
1;8;1;0;0;.1140845;117.1067
1;8;1;0;1;.9609113;260.7642
1;8;1;1;0;.3986591;212.3373
1;8;1;1;1;.6804532;163.7012
1;8;1;2;0;.3986591;212.3373
1;8;1;2;1;.6804532;163.7012
1;8;1;3;0;.3986591;212.3373
1;8;1;3;1;.6804532;163.7012
1;8;2;0;0;.1140845;117.1067
1;8;2;0;1;.9609113;260.7642
1;8;2;1;0;.3986591;212.3373
