region_id;annee;nb_places;nb_installations;nb_usagers_tot;nb_usagers_sad;nb_etc_avq;nb_etc_avd;hrs_tot_trav_avq;hrs_tot_trav_avd;tx_occupation;tx_sad;iso_smaf1;iso_smaf2;iso_smaf3;iso_smaf4;iso_smaf5;iso_smaf6;iso_smaf7;iso_smaf8;iso_smaf9;iso_smaf10;iso_smaf11;iso_smaf12;iso_smaf13;iso_smaf14
1;2019;6285;133;4715;2740.786;50.69414;2.023142;87447.39;3489.92;.7501989;.5812908;.093165;.037259;.062565;.145658;.087392;.14687;.08561;.114589;.093739;.046953;.032653;.034834;.014852;.003861
2;2019;6842;94;5371;2616.26;31.31516;.5440174;54018.65;938.43;.7850044;.4871085;.126145;.031691;.034828;.199547;.082228;.146784;.098247;.117907;.074224;.035671;.018473;.022408;.009999;.001847
3;2019;20327;156;14305;4403.518;424.6397;1.869965;732503.4;3225.69;.7037438;.3078307;.074217;.017099;.036895;.159252;.08334;.144254;.087233;.165997;.094324;.046876;.033232;.036465;.01205;.008767
4;2019;15956;181;11478;4851.624;148.8374;.4718203;256744.5;813.89;.7193532;.422689;.114313;.040253;.057535;.172663;.070997;.157114;.083236;.109889;.083722;.040272;.023593;.028363;.009074;.008976
5;2019;12096;119;8651;3287.314;38.16448;19.29541;65833.73;33284.59;.7151951;.3799924;.088741;.035228;.031603;.144207;.074666;.135705;.116536;.154577;.071961;.065481;.02841;.033823;.011226;.007838
6;2019;34996;204;26047;5086.511;147.2446;10.04403;253996.9;17325.95;.744285;.195282;.12365;.031398;.028385;.253065;.055626;.150646;.052362;.126042;.081715;.027126;.019262;.025429;.018228;.007067
7;2019;5819;64;4138;1256.725;76.35051;0;131704.6;0;.7111188;.3037035;.071747;.029507;.02921;.179521;.049988;.176017;.073056;.143447;.125377;.03667;.029008;.034107;.015755;.006591
8;2019;3038;42;2100;1070.005;3.208974;.2157971;5535.48;372.25;.6912442;.5095264;.110228;.043873;.038062;.284733;.057829;.123112;.087227;.107443;.067295;.030997;.018156;.024862;.003925;.002259
9;2019;893;8;686;490.5982;12.21668;.2855015;21073.77;492.49;.7681971;.7151577;.150666;.041786;.038049;.173761;.072089;.117034;.090026;.107864;.096141;.043994;.015423;.033632;.009852;.009682
10;2019;165;4;86;61.91667;1.349449;.0984058;2327.8;169.75;.5212121;.7199612;.425303;.0821;.069987;.141319;.056528;.028264;.096904;.074024;0;.020188;.005384;0;0;0
11;2019;1478;49;1055;756.6246;32.45052;.0142145;55977.15;24.52;.7138025;.7171797;.037601;.037447;.066358;.151403;.078961;.183711;.095182;.115441;.1132;.050103;.022358;.036261;.010653;.001322
12;2019;10944;171;9141;4149.41;192.4005;8.801531;331890.8;15182.64;.8352522;.4539339;.072403;.02475;.049871;.14926;.083222;.168077;.086077;.126516;.094235;.048876;.031729;.035074;.018248;.011661
13;2019;11005;51;8072;941.6282;9.261989;.1722667;15976.93;297.16;.7334848;.1166537;.091933;.029352;.023806;.157984;.055323;.163459;.093995;.170737;.066498;.055389;.02416;.044619;.01885;.003894
14;2019;10362;111;7314;1840.843;136.5047;.5162145;235470.6;890.47;.7058483;.2516876;.098246;.028587;.025197;.2414;.061783;.160269;.061902;.142956;.082887;.03327;.022283;.03071;.007031;.003477
15;2019;8900;107;6752;1780.742;84.25626;1.687003;145342.1;2910.08;.7586517;.2637354;.078742;.028989;.044138;.173563;.091826;.169143;.097908;.126434;.067356;.033487;.026846;.044132;.011322;.006112
16;2019;33017;251;21229;6672.119;181.7054;2.368887;313441.8;4086.33;.6429718;.3142927;.113855;.030989;.051711;.185985;.079148;.152712;.074105;.136592;.064958;.038293;.021807;.032163;.011268;.006414
17;2019;0;0;0;0;0;0;0;0;0;0;.425303;.0821;.069987;.141319;.056528;.028264;.096904;.074024;0;.020188;.005384;0;0;0
18;2019;0;0;0;0;0;0;0;0;0;0;.425303;.0821;.069987;.141319;.056528;.028264;.096904;.074024;0;.020188;.005384;0;0;0
