region_id;iso_smaf;gr_age;choice;prob
1;1;1;0;.0175
1;1;1;1;.2209
1;1;1;2;.5774
1;1;1;3;.1842
1;1;2;0;.0057
1;1;2;1;.1498
1;1;2;2;.5949
1;1;2;3;.2496
1;1;3;0;.0009
1;1;3;1;.1144
1;1;3;2;.6062
1;1;3;3;.2785
1;2;1;0;.0317
1;2;1;1;.2858
1;2;1;2;.4856
1;2;1;3;.1969
1;2;2;0;.0106
1;2;2;1;.1995
1;2;2;2;.5151
1;2;2;3;.2748
1;2;3;0;.0017
1;2;3;1;.1547
1;2;3;2;.5325
1;2;3;3;.3111
1;3;1;0;.0061
1;3;1;1;.27
1;3;1;2;.4937
1;3;1;3;.2302
1;3;2;0;.002
1;3;2;1;.1819
1;3;2;2;.5058
1;3;2;3;.3103
1;3;3;0;.0003
1;3;3;1;.1389
1;3;3;2;.5149
1;3;3;3;.3459
1;4;1;0;.0083
1;4;1;1;.2323
1;4;1;2;.447
1;4;1;3;.3124
1;4;2;0;.0026
1;4;2;1;.1508
1;4;2;2;.4411
1;4;2;3;.4055
1;4;3;0;.0004
1;4;3;1;.1132
1;4;3;2;.4417
1;4;3;3;.4447
1;5;1;0;.0049
1;5;1;1;.2621
1;5;1;2;.4758
1;5;1;3;.2572
1;5;2;0;.0016
1;5;2;1;.1745
1;5;2;2;.4815
1;5;2;3;.3424
1;5;3;0;.0002
1;5;3;1;.1325
1;5;3;2;.4876
1;5;3;3;.3797
1;6;1;0;.0002
1;6;1;1;.2547
1;6;1;2;.4498
1;6;1;3;.2953
1;6;2;0;.0001
1;6;2;1;.1666
1;6;2;2;.4472
1;6;2;3;.3861
1;6;3;0;0
1;6;3;1;.1257
1;6;3;2;.4494
1;6;3;3;.4249
1;7;1;0;.005
1;7;1;1;.2631
1;7;1;2;.4739
1;7;1;3;.258
1;7;2;0;.0016
1;7;2;1;.1753
1;7;2;2;.4796
1;7;2;3;.3435
1;7;3;0;.0002
1;7;3;1;.1332
1;7;3;2;.4857
1;7;3;3;.3809
1;8;1;0;.0011
1;8;1;1;.1894
1;8;1;2;.5161
1;8;1;3;.2934
1;8;2;0;.0003
1;8;2;1;.1213
1;8;2;2;.5026
1;8;2;3;.3758
1;8;3;0;.0001
1;8;3;1;.0905
1;8;3;2;.5
1;8;3;3;.4094
1;9;1;0;.0019
1;9;1;1;.1919
1;9;1;2;.4672
1;9;1;3;.339
1;9;2;0;.0006
1;9;2;1;.1214
1;9;2;2;.4492
1;9;2;3;.4288
1;9;3;0;.0001
1;9;3;1;.0902
1;9;3;2;.4448
1;9;3;3;.4649
1;10;1;0;.0048
1;10;1;1;.1431
1;10;1;2;.5856
1;10;1;3;.2665
1;10;2;0;.0015
1;10;2;1;.0912
1;10;2;2;.5675
1;10;2;3;.3398
1;10;3;0;.0002
1;10;3;1;.0679
1;10;3;2;.5629
1;10;3;3;.369
1;11;1;0;0
1;11;1;1;.1972
1;11;1;2;.5212
1;11;1;3;.2816
1;11;2;0;0
1;11;2;1;.127
1;11;2;2;.5103
1;11;2;3;.3627
1;11;3;0;0
1;11;3;1;.0951
1;11;3;2;.5089
1;11;3;3;.396
1;12;1;0;.0029
1;12;1;1;.1158
1;12;1;2;.6061
1;12;1;3;.2752
1;12;2;0;.0009
1;12;2;1;.0729
1;12;2;2;.5799
1;12;2;3;.3463
1;12;3;0;.0001
1;12;3;1;.054
1;12;3;2;.5719
1;12;3;3;.374
1;13;1;0;0
1;13;1;1;.2181
1;13;1;2;.4615
1;13;1;3;.3204
1;13;2;0;0
1;13;2;1;.1398
1;13;2;2;.4496
1;13;2;3;.4106
1;13;3;0;0
1;13;3;1;.1045
1;13;3;2;.4477
1;13;3;3;.4478
1;14;1;0;.0017
1;14;1;1;.0824
1;14;1;2;.6771
1;14;1;3;.2388
1;14;2;0;.0005
1;14;2;1;.0519
1;14;2;2;.6473
1;14;2;3;.3003
1;14;3;0;.0001
1;14;3;1;.0383
1;14;3;2;.6377
1;14;3;3;.3239
2;1;1;0;.1205
2;1;1;1;.2097
2;1;1;2;.4899
2;1;1;3;.1799
2;1;2;0;.0506
2;1;2;1;.1341
2;1;2;2;.5727
2;1;2;3;.2426
2;1;3;0;.0134
2;1;3;1;.0565
2;1;3;2;.6737
2;1;3;3;.2564
2;2;1;0;.1523
2;2;1;1;.1558
2;2;1;2;.4964
2;2;1;3;.1955
2;2;2;0;.0635
2;2;2;1;.0989
2;2;2;2;.5759
2;2;2;3;.2617
2;2;3;0;.0167
2;2;3;1;.0411
2;2;3;2;.669
2;2;3;3;.2732
2;3;1;0;.0362
2;3;1;1;.1982
2;3;1;2;.5043
2;3;1;3;.2613
2;3;2;0;.014
2;3;2;1;.1169
2;3;2;2;.5439
2;3;2;3;.3252
2;3;3;0;.0036
2;3;3;1;.0475
2;3;3;2;.6173
2;3;3;3;.3316
2;4;1;0;.0595
2;4;1;1;.2017
2;4;1;2;.4352
2;4;1;3;.3036
2;4;2;0;.0233
2;4;2;1;.1203
2;4;2;2;.4745
2;4;2;3;.3819
2;4;3;0;.0061
2;4;3;1;.0497
2;4;3;2;.5479
2;4;3;3;.3963
2;5;1;0;.0445
2;5;1;1;.287
2;5;1;2;.3958
2;5;1;3;.2727
2;5;2;0;.0181
2;5;2;1;.1777
2;5;2;2;.448
2;5;2;3;.3562
2;5;3;0;.0049
2;5;3;1;.0761
2;5;3;2;.536
2;5;3;3;.383
2;6;1;0;.0178
2;6;1;1;.1957
2;6;1;2;.3946
2;6;1;3;.3919
2;6;2;0;.0067
2;6;2;1;.1115
2;6;2;2;.4109
2;6;2;3;.4709
2;6;3;0;.0017
2;6;3;1;.0457
2;6;3;2;.4693
2;6;3;3;.4833
2;7;1;0;.0369
2;7;1;1;.3115
2;7;1;2;.3453
2;7;1;3;.3063
2;7;2;0;.015
2;7;2;1;.1931
2;7;2;2;.3913
2;7;2;3;.4006
2;7;3;0;.0041
2;7;3;1;.084
2;7;3;2;.475
2;7;3;3;.4369
2;8;1;0;.0133
2;8;1;1;.2615
2;8;1;2;.3078
2;8;1;3;.4174
2;8;2;0;.0051
2;8;2;1;.1526
2;8;2;2;.3284
2;8;2;3;.5139
2;8;3;0;.0014
2;8;3;1;.0646
2;8;3;2;.3882
2;8;3;3;.5458
2;9;1;0;.0082
2;9;1;1;.2655
2;9;1;2;.2604
2;9;1;3;.4659
2;9;2;0;.0031
2;9;2;1;.1536
2;9;2;2;.2751
2;9;2;3;.5682
2;9;3;0;.0008
2;9;3;1;.0654
2;9;3;2;.327
2;9;3;3;.6068
2;10;1;0;.0142
2;10;1;1;.359
2;10;1;2;.246
2;10;1;3;.3808
2;10;2;0;.0058
2;10;2;1;.2214
