region_id;iso_smaf;gr_age;choice;AVD;prob;hrs_pefsad
1;1;1;0;0;.8763497;95.44602
1;1;1;0;1;.9579211;87.61667
1;1;1;1;0;.3803915;112.1736
1;1;1;1;1;.6635208;55.73469
1;1;1;2;0;.3803915;112.1736
1;1;1;2;1;.6635208;55.73469
1;1;1;3;0;.3803915;112.1736
1;1;1;3;1;.6635208;55.73469
1;1;2;0;0;.8763497;95.44602
1;1;2;0;1;.9579211;87.61667
1;1;2;1;0;.3803915;112.1736
1;1;2;1;1;.6635208;55.73469
1;1;2;2;0;.3803915;112.1736
1;1;2;2;1;.6635208;55.73469
1;1;2;3;0;.3803915;112.1736
1;1;2;3;1;.6635208;55.73469
1;1;3;0;0;.8354558;108.133
1;1;3;0;1;.9422261;60.08437
1;1;3;1;0;.3054673;119.9031
1;1;3;1;1;.5855294;92.50642
1;1;3;2;0;.3054673;119.9031
1;1;3;2;1;.5855294;92.50642
1;1;3;3;0;.3054673;119.9031
1;1;3;3;1;.5855294;92.50642
1;2;1;0;0;.8361643;95.44602
1;2;1;0;1;.9425066;87.61667
1;2;1;1;0;.3065638;112.1736
1;2;1;1;1;.5867818;55.73469
1;2;1;2;0;.3065638;112.1736
1;2;1;2;1;.5867818;55.73469
1;2;1;3;0;.3065638;112.1736
1;2;1;3;1;.5867818;55.73469
1;2;2;0;0;.8361643;95.44602
1;2;2;0;1;.9425066;87.61667
1;2;2;1;0;.3065638;112.1736
1;2;2;1;1;.5867818;55.73469
1;2;2;2;0;.3065638;112.1736
1;2;2;2;1;.5867818;55.73469
1;2;2;3;0;.3065638;112.1736
1;2;2;3;1;.5867818;55.73469
1;2;3;0;0;.7852371;108.133
1;2;3;0;1;.9215331;60.08437
1;2;3;1;0;.240536;119.9031
1;2;3;1;1;.5042918;92.50642
1;2;3;2;0;.240536;119.9031
1;2;3;2;1;.5042918;92.50642
1;2;3;3;0;.240536;119.9031
1;2;3;3;1;.5042918;92.50642
1;3;1;0;0;.7543037;95.44602
1;3;1;0;1;.9079293;87.61667
1;3;1;1;0;.2100713;112.1736
1;3;1;1;1;.4606851;55.73469
1;3;1;2;0;.2100713;112.1736
1;3;1;2;1;.4606851;55.73469
1;3;1;3;0;.2100713;112.1736
1;3;1;3;1;.4606851;55.73469
1;3;2;0;0;.7543037;95.44602
1;3;2;0;1;.9079293;87.61667
1;3;2;1;0;.2100713;112.1736
1;3;2;1;1;.4606851;55.73469
1;3;2;2;0;.2100713;112.1736
1;3;2;2;1;.4606851;55.73469
1;3;2;3;0;.2100713;112.1736
1;3;2;3;1;.4606851;55.73469
1;3;3;0;0;.6874424;108.133
1;3;3;0;1;.8760017;60.08437
1;3;3;1;0;.1600299;119.9031
1;3;3;1;1;.3796357;92.50642
1;3;3;2;0;.1600299;119.9031
1;3;3;2;1;.3796357;92.50642
1;3;3;3;0;.1600299;119.9031
1;3;3;3;1;.3796357;92.50642
1;4;1;0;0;.873024;252.7454
1;4;1;0;1;.9566809;197.3168
1;4;1;1;0;.3732664;212.2683
1;4;1;1;1;.6567134;131.7562
1;4;1;2;0;.3732664;212.2683
1;4;1;2;1;.6567134;131.7562
1;4;1;3;0;.3732664;212.2683
1;4;1;3;1;.6567134;131.7562
1;4;2;0;0;.873024;252.7454
1;4;2;0;1;.9566809;197.3168
1;4;2;1;0;.3732664;212.2683
1;4;2;1;1;.6567134;131.7562
1;4;2;2;0;.3732664;212.2683
1;4;2;2;1;.6567134;131.7562
1;4;2;3;0;.3732664;212.2683
1;4;2;3;1;.6567134;131.7562
1;4;3;0;0;.8312421;152.1588
1;4;3;0;1;.9405521;112.2857
1;4;3;1;0;.2990682;148.3563
1;4;3;1;1;.5781472;240.9822
1;4;3;2;0;.2990682;148.3563
1;4;3;2;1;.5781472;240.9822
1;4;3;3;0;.2990682;148.3563
1;4;3;3;1;.5781472;240.9822
1;5;1;0;0;.7774848;148.8421
1;5;1;0;1;.9181881;128.1408
1;5;1;1;0;.2323434;170.5979
1;5;1;1;1;.4929467;149.7833
1;5;1;2;0;.2323434;170.5979
1;5;1;2;1;.4929467;149.7833
1;5;1;3;0;.2323434;170.5979
1;5;1;3;1;.4929467;149.7833
1;5;2;0;0;.7774848;148.8421
1;5;2;0;1;.9181881;128.1408
1;5;2;1;0;.2323434;170.5979
1;5;2;1;1;.4929467;149.7833
1;5;2;2;0;.2323434;170.5979
1;5;2;2;1;.4929467;149.7833
1;5;2;3;0;.2323434;170.5979
1;5;2;3;1;.4929467;149.7833
1;5;3;0;0;.7145444;99.99168
1;5;3;0;1;.8893845;79.42157
1;5;3;1;0;.1781934;178.2315
1;5;3;1;1;.4105421;84.03657
1;5;3;2;0;.1781934;178.2315
1;5;3;2;1;.4105421;84.03657
1;5;3;3;0;.1781934;178.2315
1;5;3;3;1;.4105421;84.03657
1;6;1;0;0;.7252657;252.7454
1;6;1;0;1;.8945085;197.3168
1;6;1;1;0;.186114;212.2683
1;6;1;1;1;.4234687;131.7562
1;6;1;2;0;.186114;212.2683
1;6;1;2;1;.4234687;131.7562
1;6;1;3;0;.186114;212.2683
1;6;1;3;1;.4234687;131.7562
1;6;2;0;0;.7252657;252.7454
1;6;2;0;1;.8945085;197.3168
1;6;2;1;0;.186114;212.2683
1;6;2;1;1;.4234687;131.7562
1;6;2;2;0;.186114;212.2683
1;6;2;2;1;.4234687;131.7562
1;6;2;3;0;.186114;212.2683
1;6;2;3;1;.4234687;131.7562
1;6;3;0;0;.6541256;152.1588
1;6;3;0;1;.8586515;112.2857
1;6;3;1;0;.1407626;148.3563
1;6;3;1;1;.3447811;240.9822
1;6;3;2;0;.1407626;148.3563
1;6;3;2;1;.3447811;240.9822
1;6;3;3;0;.1407626;148.3563
1;6;3;3;1;.3447811;240.9822
1;7;1;0;0;.7757061;148.8421
1;7;1;0;1;.9174147;128.1408
1;7;1;1;0;.2305198;170.5979
1;7;1;1;1;.4903843;149.7833
1;7;1;2;0;.2305198;170.5979
1;7;1;2;1;.4903843;149.7833
1;7;1;3;0;.2305198;170.5979
1;7;1;3;1;.4903843;149.7833
1;7;2;0;0;.7757061;148.8421
1;7;2;0;1;.9174147;128.1408
1;7;2;1;0;.2305198;170.5979
1;7;2;1;1;.4903843;149.7833
1;7;2;2;0;.2305198;170.5979
1;7;2;2;1;.4903843;149.7833
1;7;2;3;0;.2305198;170.5979
1;7;2;3;1;.4903843;149.7833
1;7;3;0;0;.7124487;99.99168
1;7;3;0;1;.8883719;79.42157
1;7;3;1;0;.176697;178.2315
1;7;3;1;1;.4080634;84.03657
1;7;3;2;0;.176697;178.2315
1;7;3;2;1;.4080634;84.03657
1;7;3;3;0;.176697;178.2315
1;7;3;3;1;.4080634;84.03657
1;8;1;0;0;.7417627;148.8421
1;8;1;0;1;.9022132;128.1408
1;8;1;1;0;.1992411;170.5979
1;8;1;1;1;.4442001;149.7833
1;8;1;2;0;.1992411;170.5979
1;8;1;2;1;.4442001;149.7833
1;8;1;3;0;.1992411;170.5979
1;8;1;3;1;.4442001;149.7833
1;8;2;0;0;.7417627;148.8421
1;8;2;0;1;.9022132;128.1408
1;8;2;1;0;.1992411;170.5979
1;8;2;1;1;.4442001;149.7833
