region_id;annee;nb_places_pub;nb_installations;nb_places_nc;nb_etc_avq;nb_etc_inf;heures_tot_trav_avq;heures_tot_trav_inf;nb_usagers_pub;nb_usagers_nc;iso_smaf_pub1;iso_smaf_pub2;iso_smaf_pub3;iso_smaf_pub4;iso_smaf_pub5;iso_smaf_pub6;iso_smaf_pub7;iso_smaf_pub8;iso_smaf_pub9;iso_smaf_pub10;iso_smaf_pub11;iso_smaf_pub12;iso_smaf_pub13;iso_smaf_pub14;iso_smaf_nc1;iso_smaf_nc2;iso_smaf_nc3;iso_smaf_nc4;iso_smaf_nc5;iso_smaf_nc6;iso_smaf_nc7;iso_smaf_nc8;iso_smaf_nc9;iso_smaf_nc10;iso_smaf_nc11;iso_smaf_nc12;iso_smaf_nc13;iso_smaf_nc14;hrs_par_etc_inf;hrs_par_etc_avq;sal_inf;sal_avq;cout_place_var;cout_construction_mda;cout_construction_chsld;cout_place_fixe;cah
1;2015;989;14;0;1102.3468;501.26632;1493489.5;758253.25;833.3333;2.0;0.000899;0.0;0.0;0.002398;0.000699;0.007794;0.013289;0.032774;0.101419;0.113809;0.180655;0.157174;0.205635;0.183453;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.285714;0.214286;0.428571;0.071429;0.0;1512.675;1354.827;37.16518;28.62531;71721.15;0.0;0.0;0.0;0.0
1;2016;980;14;0;1064.4146;487.2096;1451135.0;749047.84;799.1667;1.0;0.000626;0.000417;0.0;0.004171;0.00292;0.004171;0.010845;0.028154;0.073827;0.102607;0.179666;0.176434;0.246507;0.169656;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1537.424;1363.318;37.86644;29.1564;72115.98;0.0;0.0;0.0;0.0
1;2017;959;14;0;1050.7244;485.19919;1430303.4;751356.21;776.5;1.25;0.000107;0.000966;0.0;0.004829;0.005259;0.005688;0.009659;0.033162;0.080811;0.100021;0.198218;0.144452;0.23299;0.183838;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.8;0.0;0.0;0.0;1548.552;1361.255;39.30573;30.0812;75659.91;0.0;0.0;0.0;0.0
1;2018;942;15;0;1033.0958;487.98704;1462113.9;765091.13;800.0833;2.666667;0.002393;0.000937;0.000624;0.004579;0.005723;0.006348;0.013632;0.02539;0.062851;0.120604;0.220916;0.149532;0.218626;0.167846;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.342857;0.0;0.0;0.542857;0.114286;0.0;0.0;1567.851;1415.274;41.62479;30.26624;80784.98;0.0;0.0;0.0;0.0
1;2019;945;16;0;1016.0071;488.47649;1475901.3;789058.36;869.5;5.0;0.001054;0.000383;0.000767;0.002779;0.004121;0.010638;0.01773;0.032777;0.064788;0.12833;0.222733;0.160533;0.191681;0.161683;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.133333;0.333333;0.133333;0.2;0.0;1615.346;1452.649;42.82133;31.04453;84240.41;795431.0;458705.0;53544.0;18601.0
1;2020;945;16;0;1278.3022;534.29798;1888911.9;876676.93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1640.802;1477.672;47.00943;30.31613;104208.0;0.0;0.0;0.0;0.0
2;2015;1203;20;0;612.72896;284.31638;825561.35;434106.56;1088.167;1.0;0.003523;7.7e-05;0.000919;0.001378;0.012942;0.027876;0.040512;0.074437;0.131643;0.183412;0.117093;0.167254;0.133941;0.104993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1526.843;1347.352;38.32513;28.33252;33273.0;0.0;0.0;0.0;0.0
2;2016;1194;20;0;610.22053;283.4946;826909.54;435245.92;1087.417;1.583333;0.002681;0.000153;0.001072;0.002298;0.015781;0.028344;0.042209;0.072392;0.10311;0.187759;0.144553;0.167228;0.131684;0.100735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.363636;0.0;0.0;0.545455;0.0;0.0;0.090909;1535.288;1355.099;38.91234;28.73798;34087.22;0.0;0.0;0.0;0.0
2;2017;1204;20;0;625.21941;285.87138;854063.19;443689.0;1070.417;2.583333;0.00327;0.000545;0.003348;0.001635;0.011211;0.026158;0.041339;0.061269;0.091787;0.20109;0.136785;0.178279;0.139821;0.103464;0.0;0.0;0.0;0.129032;0.0;0.032258;0.0;0.387097;0.0;0.290323;0.16129;0.0;0.0;0.0;1552.058;1366.022;39.82522;29.2908;35453.66;0.0;0.0;0.0;0.0
2;2018;1218;20;0;615.99116;293.9133;834270.37;453711.85;1070.25;4.25;0.003192;7.8e-05;0.003348;0.001635;0.006541;0.022814;0.02842;0.058164;0.103403;0.200498;0.153547;0.217317;0.118742;0.082302;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.235294;0.235294;0.254902;0.039216;0.0;0.235294;0.0;1543.693;1354.354;41.45754;31.0;36676.65;0.0;0.0;0.0;0.0
