region_id;iso_smaf;gr_age;hrs_avd
1;1;1;129.5593
1;1;2;91.96217
1;1;3;38.93902
1;2;1;129.5593
1;2;2;91.96217
1;2;3;38.93902
1;3;1;129.5593
1;3;2;91.96217
1;3;3;38.93902
1;4;1;158.8237
1;4;2;147.0651
1;4;3;23.22249
1;5;1;338.3968
1;5;2;142.376
1;5;3;62.7015
1;6;1;158.8237
1;6;2;147.0651
1;6;3;23.22249
1;7;1;338.3968
1;7;2;142.376
1;7;3;62.7015
1;8;1;338.3968
1;8;2;142.376
1;8;3;62.7015
1;9;1;158.8237
1;9;2;147.0651
1;9;3;23.22249
1;10;1;338.3968
1;10;2;142.376
1;10;3;62.7015
1;11;1;57.6
1;11;2;40.22222
1;11;3;84.0869
1;12;1;57.6
1;12;2;40.22222
1;12;3;84.0869
1;13;1;57.6
1;13;2;40.22222
1;13;3;84.0869
1;14;1;57.6
1;14;2;40.22222
1;14;3;84.0869
2;1;1;129.5593
2;1;2;91.96217
2;1;3;16.85069
2;2;1;129.5593
2;2;2;91.96217
2;2;3;16.85069
2;3;1;129.5593
2;3;2;91.96217
2;3;3;16.85069
2;4;1;114.0411
2;4;2;25.36392
2;4;3;13.47992
2;5;1;187.7397
2;5;2;142.376
2;5;3;16.27437
2;6;1;114.0411
2;6;2;25.36392
2;6;3;13.47992
2;7;1;187.7397
2;7;2;142.376
2;7;3;16.27437
2;8;1;187.7397
2;8;2;142.376
2;8;3;16.27437
2;9;1;114.0411
2;9;2;25.36392
2;9;3;13.47992
2;10;1;187.7397
2;10;2;142.376
2;10;3;16.27437
2;11;1;57.6
2;11;2;40.22222
2;11;3;84.0869
2;12;1;57.6
2;12;2;40.22222
2;12;3;84.0869
2;13;1;57.6
2;13;2;40.22222
2;13;3;84.0869
2;14;1;57.6
2;14;2;40.22222
2;14;3;84.0869
3;1;1;129.5593
3;1;2;91.96217
3;1;3;38.93902
3;2;1;129.5593
3;2;2;91.96217
3;2;3;38.93902
3;3;1;129.5593
3;3;2;91.96217
3;3;3;38.93902
3;4;1;158.8237
3;4;2;147.0651
3;4;3;85.24958
3;5;1;187.7397
3;5;2;142.376
3;5;3;56.74199
3;6;1;158.8237
3;6;2;147.0651
3;6;3;85.24958
3;7;1;187.7397
