region_id;iso_smaf;gr_age;sans_service;dom;rpa;ri;nsa;chsld
1;1;1;1;0;0;0;0;0
1;1;2;1;0;0;0;0;0
1;1;3;1;0;0;0;0;0
1;2;1;.8675781;0;0;0;.1324219;0
1;2;2;.9564394;0;0;0;.0435606;0
1;2;3;.9106811;0;0;0;.0893188;0
1;3;1;1;0;0;0;0;0
1;3;2;1;0;0;0;0;0
1;3;3;1;0;0;0;0;0
1;4;1;1;0;0;0;0;0
1;4;2;1;0;0;0;0;0
1;4;3;1;0;0;0;0;0
1;5;1;.704244;0;0;0;.295756;0
1;5;2;.8886417;0;0;0;.1113583;0
1;5;3;.7874894;0;0;0;.2125106;0
1;6;1;.7493773;0;0;0;.2506228;0
1;6;2;.909261;0;0;0;.090739;0
1;6;3;.8231099;0;0;0;.1768901;0
1;7;1;.7716578;0;0;0;.2283422;0
1;7;2;.9188666;0;0;0;.0811334;0
1;7;3;.8402331;0;0;0;.1597669;0
1;8;1;.784687;0;0;0;.215313;0
1;8;2;.9243199;0;0;0;.0756801;0
1;8;3;.8501095;0;0;0;.1498905;0
1;9;1;.8350495;0;0;0;.1649506;0
1;9;2;.9443385;0;0;0;.0556615;0
1;9;3;.8873659;0;0;0;.1126341;0
1;10;1;.8453813;0;0;0;.1546187;0
1;10;2;.9482492;0;0;0;.0517508;0
1;10;3;.8948336;0;0;0;.1051664;0
1;11;1;.6386023;0;0;0;.3613977;0
1;11;2;.8555306;0;0;0;.1444694;0
1;11;3;.7333274;0;0;0;.2666726;0
1;12;1;.8675781;0;0;0;.1324219;0
1;12;2;.9564394;0;0;0;.0435606;0
1;12;3;.9106811;0;0;0;.0893188;0
1;13;1;1;0;0;0;0;0
1;13;2;1;0;0;0;0;0
1;13;3;1;0;0;0;0;0
1;14;1;.8675781;0;0;0;.1324219;0
1;14;2;.9564394;0;0;0;.0435606;0
1;14;3;.9106811;0;0;0;.0893188;0
2;1;1;.9596941;0;0;0;.0403059;0
2;1;2;.9295121;0;0;0;.0704879;0
2;1;3;.9513109;0;0;0;.0486891;0
2;2;1;1;0;0;0;0;0
2;2;2;1;0;0;0;0;0
2;2;3;1;0;0;0;0;0
2;3;1;1;0;0;0;0;0
2;3;2;1;0;0;0;0;0
2;3;3;1;0;0;0;0;0
2;4;1;.9363222;0;0;0;.0636778;0
2;4;2;.8906331;0;0;0;.1093669;0
2;4;3;.9234654;0;0;0;.0765346;0
2;5;1;.6748253;0;0;0;.3251747;0
2;5;2;.534742;0;0;0;.465258;0
2;5;3;.630033;0;0;0;.369967;0
2;6;1;.8036897;0;0;0;.1963103;0
2;6;2;.6939429;0;0;0;.3060571;0
2;6;3;.7706144;0;0;0;.2293856;0
2;7;1;.7895921;0;0;0;.2104078;0
2;7;2;.6751497;0;0;0;.3248504;0
2;7;3;.7548661;0;0;0;.2451339;0
2;8;1;.7921146;0;0;0;.2078854;0
2;8;2;.6784854;0;0;0;.3215146;0
2;8;3;.7576771;0;0;0;.2423229;0
2;9;1;.7214106;0;0;0;.2785894;0
2;9;2;.5891785;0;0;0;.4108215;0
2;9;3;.6799923;0;0;0;.3200077;0
2;10;1;.8032248;0;0;0;.1967752;0
2;10;2;.6933172;0;0;0;.3066829;0
2;10;3;.7700936;0;0;0;.2299065;0
2;11;1;.8333776;0;0;0;.1666224;0
2;11;2;.73475;0;0;0;.26525;0
2;11;3;.8040849;0;0;0;.1959151;0
2;12;1;.8903878;0;0;0;.1096122;0
2;12;2;.8181419;0;0;0;.1818581;0
2;12;3;.8695488;0;0;0;.1304512;0
2;13;1;.8095726;0;0;0;.1904273;0
2;13;2;.7018947;0;0;0;.2981053;0
