# ./ON1Builder/ml/training_data.csv,timestamp,symbol,price_usd,market_cap,volume_24h,percent_change_24h,total_supply,circulating_supply,volatility,liquidity_ratio,avg_transaction_value,trading_pairs,exchange_count,price_momentum,buy_sell_ratio,smart_money_flow
,1745095776.0,WETH,1.0,195285181779.0,5532258739.62458,0.0,120703159.4902972,120703159.4902972,0.0,0.0283291271218177,0.0,100.0,0.0,0.0,1.0,0.0
,1745096597.0,WETH,1.0,195319683591.0,5611138866.311223,0.0,120703159.4902972,120703159.4902972,0.0,0.0287279743810202,0.0,100.0,0.0,0.0,1.0,0.0
,1745096597.0,ETH,1.0,195319683591.0,5611138866.311223,0.0,120703159.4902972,120703159.4902972,0.0,0.0287279743810202,0.0,100.0,0.0,0.0,1.0,0.0
,1745096881.0,WETH,1.0,195425037159.0,5638254506.901199,0.0,120703159.4902972,120703159.4902972,0.0,0.0288512392724472,0.0,100.0,0.0,0.0,1.0,0.0
,1745096881.0,ETH,1.0,195425037159.0,5638254506.901199,0.0,120703159.4902972,120703159.4902972,0.0,0.0288512392724472,0.0,100.0,0.0,0.0,1.0,0.0
,1745099126.0,WETH,1.0,194949393381.0,4989132649.176152,0.0,120703159.4902972,120703159.4902972,0.0,0.0255919372851067,0.0,100.0,0.0,0.0,1.0,0.0
,1745099126.0,ETH,1.0,194949393381.0,4989132649.176152,0.0,120703159.4902972,120703159.4902972,0.0,0.0255919372851067,0.0,100.0,0.0,0.0,1.0,0.0
,1745099692.0,WETH,1.0,194928182376.0,5134772890.430519,0.0,120703159.4902972,120703159.4902972,0.0,0.026341870261355926,0.0,100.0,0.0,0.0,1.0,0.0
,1745099692.0,ETH,1.0,194928182376.0,5134772890.430519,0.0,120703159.4902972,120703159.4902972,0.0,0.026341870261355926,0.0,100.0,0.0,0.0,1.0,0.0
smart_money_flow,,,,,,,,,,,,,,,,
