day,temperature,windspead,event
01/01/2017,32,6,Rain
04/01/2017,,9,Sunny
05/01/2017,28,,Snow
06/01/2017,,7,
07/01/2017,32,,Rain
08/01/2017,,,Sunny
09/01/2017,,,
10/01/2017,34,8,Cloudy
11/01/2017,40,12,Sunny
