f_A	feminine noun/adjective ending in -ā	Kale 36
opt-5a	verb, optative mood, class 5 (svādi), active voice (parasmaipada)	Kale 254
opt-5m	verb, optative mood, class 5 (svādi), middle voice (ātmanepada)	Kale 254
opt-6a	verb, optative mood, class 6 (tudādi), active voice (parasmaipada)	Kale 241
opt-6m	verb, optative mood, class 6 (tudādi), middle voice (ātmanepada)	Kale 241
opt-7a	verb, optative mood, class 7 (rudhādi), active voice (parasmaipada)	Kale 254
opt-7m	verb, optative mood, class 7 (rudhādi), middle voice (ātmanepada)	Kale 254
opt-8a	verb, optative mood, class 8 (tanādi), active voice (parasmaipada)	Kale 254
opt-8m	verb, optative mood, class 8 (tanādi), middle voice (ātmanepada)	Kale 254
opt-9a	verb, optative mood, class 9 (kryādi), active voice (parasmaipada)	Kale 254
opt-9m	verb, optative mood, class 9 (kryādi), middle voice (ātmanepada)	Kale 254
opt-ca	verb, optative mood of causative verb, active voice (parasmaipada)	Kale 368
opt-cm	verb, optative mood of causative verb, middle voice (ātmanepada)	Kale 368
opt-cp	verb, optative mood of causative verb, passive voice	Kale 368
opt-p	verb, optative mood, passive voice	Kale 360
pft-a	verb, perfect tense, active voice (parasmaipada)	Kale 300
pft-ca	verb, perfect tense of causative verb, active voice (parasmaipada)	Kale 368
pft-cm	verb, perfect tense of causative verb, middle voice (ātmanepada)	Kale 368
pft-m	verb, perfect tense, middle voice (ātmanepada)	Kale 300
pre-10a	verb, present tense, class 10 (curādi), active voice (parasmaipada)	Kale 241
pre-10m	verb, present tense, class 10 (curādi), middle voice (ātmanepada)	Kale 241
pre-1a	verb, present tense, class 1 (bhvādi), active voice (parasmaipada)	Kale 241
pre-1m	verb, present tense, class 1 (bhvādi), middle voice (ātmanepada)	Kale 241
pre-2a	verb, present tense, class 2 (adādi), active voice (parasmaipada)	Kale 254
pre-2m	verb, present tense, class 2 (adādi), middle voice (ātmanepada)	Kale 254
pre-3a	verb, present tense, class 3 (juhotyādi), active voice (parasmaipada)	Kale 254
pre-3m	verb, present tense, class 3 (juhotyādi), middle voice (ātmanepada)	Kale 254
pre-4a	verb, present tense, class 4 (divādi), active voice (parasmaipada)	Kale 241
pre-4m	verb, present tense, class 4 (divādi), middle voice (ātmanepada)	Kale 241
pre-5a	verb, present tense, class 5 (svādi), active voice (parasmaipada)	Kale 254
pre-5m	verb, present tense, class 5 (svādi), middle voice (ātmanepada)	Kale 254
pre-6a	verb, present tense, class 6 (tudādi), active voice (parasmaipada)	Kale 241
pre-6m	verb, present tense, class 6 (tudādi), middle voice (ātmanepada)	Kale 241
pre-7a	verb, present tense, class 7 (rudhādi), active voice (parasmaipada)	Kale 254
pre-7m	verb, present tense, class 7 (rudhādi), middle voice (ātmanepada)	Kale 254
pre-8a	verb, present tense, class 8 (tanādi), active voice (parasmaipada)	Kale 254
pre-8m	verb, present tense, class 8 (tanādi), middle voice (ātmanepada)	Kale 254
pre-9a	verb, present tense, class 9 (kryādi), active voice (parasmaipada)	Kale 254
pre-9m	verb, present tense, class 9 (kryādi), middle voice (ātmanepada)	Kale 254
pre-ca	verb, present tense of causative verb, active voice (parasmaipada)	Kale 368
pre-cm	verb, present tense of causative verb, middle voice (ātmanepada)	Kale 368
pre-cp	verb, present tense of causative verb, passive voice	Kale 368
pre-p	verb, present tense, passive voice	Kale 360
prf-a	verb, periphrastic perfect, active voice (parasmaipada)	Kale 306
prf-m	verb, periphrastic perfect, middle voice (ātmanepada)	Kale 306
aor-a	verb, aorist tense, active voice (parasmaipada)	added
aor-m	verb, aorist tense, middle voice (ātmanepada)	added
aor-p	verb, aorist tense, passive voice	added
ben-a	verb, benedictive mood, active voice (parasmaipada)	added
ben-m	verb, benedictive mood, middle voice (ātmanepada)	added
con-a	verb, conditional tense, active voice (parasmaipada)	added
con-m	verb, conditional tense, middle voice (ātmanepada)	added
f_1_B	feminine noun/adjective ending in -bh	added
f_1_C	feminine noun/adjective ending in -ch	added
f_1_D	feminine noun/adjective ending in -dh	added
f_1_G	feminine noun/adjective ending in -gh	added
f_1_R	feminine noun/adjective ending in -ḍh	added
f_1_S	feminine noun/adjective ending in -ś	added
f_1_T	feminine noun/adjective ending in -th	added
f_1_b	feminine noun/adjective ending in -b	added
f_1_c	feminine noun/adjective ending in -c	added
f_1_d	feminine noun/adjective ending in -d	added
f_1_g	feminine noun/adjective ending in -g	added
f_1_h	feminine noun/adjective ending in -h	added
f_1_j	feminine noun/adjective ending in -j	added
f_1_k	feminine noun/adjective ending in -k	added
f_1_l	feminine noun/adjective ending in -l	added
f_1_m	feminine noun/adjective ending in -m	added
f_1_p	feminine noun/adjective ending in -p	added
f_1_q	feminine noun/adjective ending in -ḍ	added
f_1_r	feminine noun/adjective ending in -r	added
f_1_s	feminine noun/adjective ending in -s	added
f_1_t	feminine noun/adjective ending in -t	added
f_1_w	feminine noun/adjective ending in -ṭ	added
f_1_z	feminine noun/adjective ending in -ṣ	added
f_E	feminine noun/adjective ending in -ai	added
f_F	feminine noun/adjective ending in -ṝ (long ṛ)	added
f_Iyas_I	feminine comparative adjective ending in -īyasī	added
f_O	feminine noun/adjective ending in -au	added
f_aYc_I	feminine noun/adjective ending in -añcī (directional)	added
f_an_I	feminine noun/adjective ending in -anī (corresponding to masculine -an)	added
f_as	feminine noun/adjective ending in -as	added
f_in_I	feminine noun/adjective ending in -inī (corresponding to masculine -in)	added
f_is	feminine noun/adjective ending in -is	added
f_o	feminine noun/adjective ending in -o	added
f_us	feminine noun/adjective ending in -us	added
f_us_I	feminine noun/adjective ending in -uṣī (corresponding to masculine -us/vas)	added
f_vas_I	feminine noun/adjective ending in -vasī (corresponding to masculine -vas)	added
f_vat_I	feminine noun/adjective ending in -vatī (corresponding to masculine -vat)	added
inj-a	verb, injunctive mood, active voice (parasmaipada)	added
inj-m	verb, injunctive mood, middle voice (ātmanepada)	added
inj-p	verb, injunctive mood, passive voice	added
m_1_B	masculine noun/adjective ending in -bh	added
m_1_C	masculine noun/adjective ending in -ch	added
m_1_D	masculine noun/adjective ending in -dh	added
m_1_G	masculine noun/adjective ending in -gh	added
m_1_R	masculine noun/adjective ending in -ḍh	added
m_1_S	masculine noun/adjective ending in -ś	added
m_1_T	masculine noun/adjective ending in -th	added
m_1_W	masculine noun/adjective ending in -ṭh	added
m_1_c	masculine noun/adjective ending in -c	added
m_1_d	masculine noun/adjective ending in -d	added
m_1_g	masculine noun/adjective ending in -g	added
m_1_h	masculine noun/adjective ending in -h	added
m_1_j	masculine noun/adjective ending in -j	added
m_1_k	masculine noun/adjective ending in -k	added
m_1_l	masculine noun/adjective ending in -l	added
m_1_m	masculine noun/adjective ending in -m	added
m_1_p	masculine noun/adjective ending in -p	added
m_1_q	masculine noun/adjective ending in -ḍ	added
m_1_r	masculine noun/adjective ending in -r	added
m_1_s	masculine noun/adjective ending in -s	added
m_1_t	masculine noun/adjective ending in -t	added
m_1_w	masculine noun/adjective ending in -ṭ	added
m_1_z	masculine noun/adjective ending in -ṣ	added
m_E	masculine noun/adjective ending in -ai	added
m_F	masculine noun/adjective ending in -ṝ (long ṛ)	added
m_Iyas	masculine comparative adjective ending in -īyas	added
m_O	masculine noun/adjective ending in -au	added
m_as	masculine noun/adjective ending in -as	added
m_e	masculine noun/adjective ending in -e	added
m_irr	masculine noun/adjective with irregular declension	added
m_is	masculine noun/adjective ending in -is	added
m_us	masculine noun/adjective ending in -us	added
m_x	masculine noun/adjective with special/exceptional declension	added
n_1_B	neuter noun/adjective ending in -bh	added
n_1_C	neuter noun/adjective ending in -ch	added
n_1_D	neuter noun/adjective ending in -dh	added
n_1_R	neuter noun/adjective ending in -ḍh	added
n_1_S	neuter noun/adjective ending in -ś	added
n_1_T	neuter noun/adjective ending in -th	added
n_1_c	neuter noun/adjective ending in -c	added
n_1_d	neuter noun/adjective ending in -d	added
n_1_g	neuter noun/adjective ending in -g	added
n_1_h	neuter noun/adjective ending in -h	added
n_1_j	neuter noun/adjective ending in -j	added
n_1_k	neuter noun/adjective ending in -k	added
n_1_l	neuter noun/adjective ending in -l	added
n_1_m	neuter noun/adjective ending in -m	added
n_1_p	neuter noun/adjective ending in -p	added
n_1_r	neuter noun/adjective ending in -r	added
n_1_s	neuter noun/adjective ending in -s	added
n_1_t	neuter noun/adjective ending in -t	added
n_1_w	neuter noun/adjective ending in -ṭ	added
n_1_z	neuter noun/adjective ending in -ṣ	added
n_E	neuter noun/adjective ending in -ai	added
n_Iyas	neuter comparative adjective ending in -īyas	added
n_as	neuter noun/adjective ending in -as	added
n_is	neuter noun/adjective ending in -is	added
n_us	neuter noun/adjective ending in -us	added
ppf-a	verb, pluperfect tense, active voice (parasmaipada)	added
