f_A	feminine noun/adjective ending in -ā	Kale 36
f_B	feminine noun/adjective ending in -bh	Kale 55
f_D	feminine noun/adjective ending in -dh	Kale 55
f_I	feminine noun/adjective ending in -ī	Kale 41
f_S	feminine noun/adjective ending in -ś	Kale 56
f_U	feminine noun/adjective ending in -ū	Kale 42
f_aYc	feminine noun/adjective ending in -añc (directional)	Kale 62
f_c	feminine noun/adjective ending in -c	Kale 56
f_card	feminine cardinal number	Kale 102
f_d	feminine noun/adjective ending in -d	Kale 55
f_f	feminine noun/adjective ending in -ṛ	Kale 50
f_h	feminine noun/adjective ending in -h	Kale 56
f_i	feminine noun/adjective ending in -i	Kale 37
f_j	feminine noun/adjective ending in -j	Kale 56
f_k	feminine noun/adjective ending in -k	Kale 55
f_p	feminine noun/adjective ending in -p	Kale 55
f_pron	feminine pronoun	Kale 87
f_r	feminine noun/adjective ending in -r	Kale 54
f_s	feminine noun/adjective ending in -s	Kale 66
f_t	feminine noun/adjective ending in -t	Kale 55
f_u	feminine noun/adjective ending in -u	Kale 38
f_vas	feminine noun/adjective ending in -vas	Kale 80
f_yas	feminine comparative adjective ending in -īyas	Kale 81
f_z	feminine noun/adjective ending in -ṣ	Kale 56
ind	indeclinable (avyaya)	Kale 
m_A	masculine noun/adjective ending in -a	Kale 35
m_B	masculine noun/adjective ending in -bh	Kale 55
m_D	masculine noun/adjective ending in -dh	Kale 55
m_I	masculine noun/adjective ending in -ī	Kale 42
m_S	masculine noun/adjective ending in -ś	Kale 56
m_U	masculine noun/adjective ending in -ū	Kale 48
m_a	masculine noun/adjective ending in -a	Kale 35
m_aYc	masculine noun/adjective ending in -añc (directional)	Kale 62
m_an	masculine noun/adjective ending in -an	Kale 73
m_at	masculine noun/adjective ending in -at	Kale 70
m_c	masculine noun/adjective ending in -c	Kale 56
m_card	masculine cardinal number	Kale 102
m_d	masculine noun/adjective ending in -d	Kale 55
m_f	masculine noun/adjective ending in -ṛ	Kale 50
m_h	masculine noun/adjective ending in -h	Kale 56
m_i	masculine noun/adjective ending in -i	Kale 37
m_in	masculine noun/adjective ending in -in	Kale 78
m_j	masculine noun/adjective ending in -j	Kale 56
m_k	masculine noun/adjective ending in -k	Kale 55
m_mat	masculine noun/adjective ending in -mat	Kale 70
m_o	masculine noun/adjective ending in -o	Kale 53
m_p	masculine noun/adjective ending in -p	Kale 55
m_pron	masculine pronoun	Kale 87
m_r	masculine noun/adjective ending in -r	Kale 54
m_s	masculine noun/adjective ending in -s	Kale 66
m_t	masculine noun/adjective ending in -t	Kale 55
m_u	masculine noun/adjective ending in -u	Kale 37
m_vas	masculine noun/adjective ending in -vas	Kale 80
m_vat	masculine noun/adjective ending in -vat	Kale 70
m_yas	masculine comparative adjective ending in -īyas	Kale 81
m_z	masculine noun/adjective ending in -ṣ	Kale 56
n_B	neuter noun/adjective ending in -bh	Kale 55
n_D	neuter noun/adjective ending in -dh	Kale 55
n_S	neuter noun/adjective ending in -ś	Kale 56
n_a	neuter noun/adjective ending in -a	Kale 35
n_aYc	neuter noun/adjective ending in -añc (directional)	Kale 62
n_an	neuter noun/adjective ending in -an	Kale 73
n_at	neuter noun/adjective ending in -at	Kale 70
n_c	neuter noun/adjective ending in -c	Kale 56
n_card	neuter cardinal number	Kale 102
n_d	neuter noun/adjective ending in -d	Kale 55
n_f	neuter noun/adjective ending in -ṛ	Kale 49
n_h	neuter noun/adjective ending in -h	Kale 56
n_i	neuter noun/adjective ending in -i	Kale 38
n_in	neuter noun/adjective ending in -in	Kale 78
n_j	neuter noun/adjective ending in -j	Kale 56
n_k	neuter noun/adjective ending in -k	Kale 55
n_mat	neuter noun/adjective ending in -mat	Kale 70
n_p	neuter noun/adjective ending in -p	Kale 55
n_pron	neuter pronoun	Kale 87
n_r	neuter noun/adjective ending in -r	Kale 54
n_s	neuter noun/adjective ending in -s	Kale 66
n_t	neuter noun/adjective ending in -t	Kale 55
n_u	neuter noun/adjective ending in -u	Kale 39
n_vas	neuter noun/adjective ending in -vas	Kale 80
n_vat	neuter noun/adjective ending in -vat	Kale 70
n_yas	neuter comparative adjective ending in -īyas	Kale 81
n_z	neuter noun/adjective ending in -ṣ	Kale 56
fut-a	verb, future tense, active voice (parasmaipada)	Kale 298
fut-ca	verb, future tense of causative verb, active voice (parasmaipada)	Kale 368
fut-cm	verb, future tense of causative verb, middle voice (ātmanepada)	Kale 368
fut-m	verb, future tense, middle voice (ātmanepada)	Kale 298
ind_abs	absolutive (gerund)	Kale 440
ind_cabs	causal absolutive (gerund)	Kale 368
ind_cinf	causal infinitive	Kale 368
ind_cppfactn	causal periphrastic perfect action noun	Kale 368
ind_inf	infinitive	Kale 451
ind_ppfactn	periphrastic perfect action noun	Kale 329
ipf-10a	verb, imperfect tense, class 10 (curādi), active voice (parasmaipada)	Kale 241
ipf-10m	verb, imperfect tense, class 10 (curādi), middle voice (ātmanepada)	Kale 241
ipf-1a	verb, imperfect tense, class 1 (bhvādi), active voice (parasmaipada)	Kale 241
ipf-1m	verb, imperfect tense, class 1 (bhvādi), middle voice (ātmanepada)	Kale 241
ipf-2a	verb, imperfect tense, class 2 (adādi), active voice (parasmaipada)	Kale 254
ipf-2m	verb, imperfect tense, class 2 (adādi), middle voice (ātmanepada)	Kale 254
ipf-3a	verb, imperfect tense, class 3 (juhotyādi), active voice (parasmaipada)	Kale 254
ipf-3m	verb, imperfect tense, class 3 (juhotyādi), middle voice (ātmanepada)	Kale 254
ipf-4a	verb, imperfect tense, class 4 (divādi), active voice (parasmaipada)	Kale 241
ipf-4m	verb, imperfect tense, class 4 (divādi), middle voice (ātmanepada)	Kale 241
ipf-5a	verb, imperfect tense, class 5 (svādi), active voice (parasmaipada)	Kale 254
ipf-5m	verb, imperfect tense, class 5 (svādi), middle voice (ātmanepada)	Kale 254
ipf-6a	verb, imperfect tense, class 6 (tudādi), active voice (parasmaipada)	Kale 241
ipf-6m	verb, imperfect tense, class 6 (tudādi), middle voice (ātmanepada)	Kale 241
ipf-7a	verb, imperfect tense, class 7 (rudhādi), active voice (parasmaipada)	Kale 254
ipf-7m	verb, imperfect tense, class 7 (rudhādi), middle voice (ātmanepada)	Kale 254
ipf-8a	verb, imperfect tense, class 8 (tanādi), active voice (parasmaipada)	Kale 254
ipf-8m	verb, imperfect tense, class 8 (tanādi), middle voice (ātmanepada)	Kale 254
ipf-9a	verb, imperfect tense, class 9 (kryādi), active voice (parasmaipada)	Kale 254
ipf-9m	verb, imperfect tense, class 9 (kryādi), middle voice (ātmanepada)	Kale 254
ipf-ca	verb, imperfect tense of causative verb, active voice (parasmaipada)	Kale 368
ipf-cm	verb, imperfect tense of causative verb, middle voice (ātmanepada)	Kale 368
ipf-cp	verb, imperfect tense of causative verb, passive voice	Kale 368
ipf-p	verb, imperfect tense, passive voice	Kale 360
ipv-10a	verb, imperative mood, class 10 (curādi), active voice (parasmaipada)	Kale 241
ipv-10m	verb, imperative mood, class 10 (curādi), middle voice (ātmanepada)	Kale 241
ipv-1a	verb, imperative mood, class 1 (bhvādi), active voice (parasmaipada)	Kale 241
ipv-1m	verb, imperative mood, class 1 (bhvādi), middle voice (ātmanepada)	Kale 241
ipv-2a	verb, imperative mood, class 2 (adādi), active voice (parasmaipada)	Kale 254
ipv-2m	verb, imperative mood, class 2 (adādi), middle voice (ātmanepada)	Kale 254
ipv-3a	verb, imperative mood, class 3 (juhotyādi), active voice (parasmaipada)	Kale 254
ipv-3m	verb, imperative mood, class 3 (juhotyādi), middle voice (ātmanepada)	Kale 254
ipv-4a	verb, imperative mood, class 4 (divādi), active voice (parasmaipada)	Kale 241
ipv-4m	verb, imperative mood, class 4 (divādi), middle voice (ātmanepada)	Kale 241
ipv-5a	verb, imperative mood, class 5 (svādi), active voice (parasmaipada)	Kale 254
ipv-5m	verb, imperative mood, class 5 (svādi), middle voice (ātmanepada)	Kale 254
ipv-6a	verb, imperative mood, class 6 (tudādi), active voice (parasmaipada)	Kale 241
ipv-6m	verb, imperative mood, class 6 (tudādi), middle voice (ātmanepada)	Kale 241
ipv-7a	verb, imperative mood, class 7 (rudhādi), active voice (parasmaipada)	Kale 254
ipv-7m	verb, imperative mood, class 7 (rudhādi), middle voice (ātmanepada)	Kale 254
ipv-8a	verb, imperative mood, class 8 (tanādi), active voice (parasmaipada)	Kale 254
ipv-8m	verb, imperative mood, class 8 (tanādi), middle voice (ātmanepada)	Kale 254
ipv-9a	verb, imperative mood, class 9 (kryādi), active voice (parasmaipada)	Kale 254
ipv-9m	verb, imperative mood, class 9 (kryādi), middle voice (ātmanepada)	Kale 254
ipv-ca	verb, imperative mood of causative verb, active voice (parasmaipada)	Kale 368
ipv-cm	verb, imperative mood of causative verb, middle voice (ātmanepada)	Kale 368
ipv-cp	verb, imperative mood of causative verb, passive voice	Kale 368
ipv-p	verb, imperative mood, passive voice	Kale 360
opt-10a	verb, optative mood, class 10 (curādi), active voice (parasmaipada)	Kale 241
opt-10m	verb, optative mood, class 10 (curādi), middle voice (ātmanepada)	Kale 241
opt-1a	verb, optative mood, class 1 (bhvādi), active voice (parasmaipada)	Kale 241
opt-1m	verb, optative mood, class 1 (bhvādi), middle voice (ātmanepada)	Kale 241
opt-2a	verb, optative mood, class 2 (adādi), active voice (parasmaipada)	Kale 254
opt-2m	verb, optative mood, class 2 (adādi), middle voice (ātmanepada)	Kale 254
opt-3a	verb, optative mood, class 3 (juhotyādi), active voice (parasmaipada)	Kale 254
opt-3m	verb, optative mood, class 3 (juhotyādi), middle voice (ātmanepada)	Kale 254
opt-4a	verb, optative mood, class 4 (divādi), active voice (parasmaipada)	Kale 241
opt-4m	verb, optative mood, class 4 (divādi), middle voice (ātmanepada)	Kale 241
