activitytype_from,activitytype_to,classification_from,classification_to,comment,skos_uri
F_HOUS,F_HOUS,bonsai,hexio_v_3_3_18_fd,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
F_NPSH,F_NPSH,bonsai,hexio_v_3_3_18_fd,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
F_GOVE,F_GOVE,bonsai,hexio_v_3_3_18_fd,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
I_GFCF,I_GFCF,bonsai,hexio_v_3_3_18_fd,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
I_CHIN,I_CHIN,bonsai,hexio_v_3_3_18_fd,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
I_CHVA,I_CHVA,bonsai,hexio_v_3_3_18_fd,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
