code,parent_code,name,level,alias_code,in_final_sut,comment
ai,,"industry activty, total",0,,,
ai_a,ai,"agriculture, forestry and fishing",1,,,
ai_01,ai_a,"crop and animal production, hunting and related service activities",2,,,
ai_011,ai_01,Growing of non-perennial crops,3,,,
ai_0111,ai_011,"Growing of cereals (except rice), leguminous crops and oil seeds",4,,,
ai_0111_1,ai_0111,Growing of bambara bean,5,A_Bambs,True,
ai_0111_2,ai_0111,Growing of barley,5,A_Barly,True,
ai_0111_3,ai_0111,"Growing of bean, green",5,A_Beann,True,
ai_0111_4,ai_0111,"Growing of cereal, nes",5,A_Ceres,True,
ai_0111_5,ai_0111,Growing of buckwheat,5,A_Buckt,True,
ai_0111_6,ai_0111,Growing of wheat,5,A_Wheat,True,
ai_0111_7,ai_0111,Growing of soybean,5,A_Soybs,True,
ai_0111_8,ai_0111,Growing of rye,5,A_Ryee,True,
ai_0111_9,ai_0111,Growing of safflower seed,5,A_Saffd,True,
ai_0111_10,ai_0111,Growing of sesame seed,5,A_Sesad,True,
ai_0111_11,ai_0111,Growing of sorghum,5,A_Sorgm,True,
ai_0111_12,ai_0111,Growing of germ of wheat,5,A_Germt,True,
ai_0111_13,ai_0111,"production of pea, dry",5,A_Peasy,True,
ai_0111_14,ai_0111,Growing of castor bean,5,A_Castd,True,
ai_0111_15,ai_0111,Growing of linseed,5,A_Linsd,True,
ai_0111_16,ai_0111,Growing of lupin,5,A_Lupis,True,
ai_0111_17,ai_0111,production of mixed grain,5,A_Graid,True,
ai_0111_18,ai_0111,"production of chick-peas, dry",5,A_Chick,True,
ai_0111_19,ai_0111,Growing of maize,5,A_Maize,True,
ai_0111_20,ai_0111,Growing of green corn (maize),5,A_Maizn,True,
ai_0111_21,ai_0111,Growing of oilseed nes,5,A_Oilss,True,
ai_0111_22,ai_0111,"Growing of groundnut, in shell",5,A_Groul,True,
ai_0111_23,ai_0111,Growing of rapeseed or colza seed,5,A_Raped,True,
ai_0111_24,ai_0111,Growing of mustard seed,5,A_Mustd,True,
ai_0111_25,ai_0111,"Growing of broad bean, green",5,A_Vegleg_nes,True,
ai_0111_26,ai_0111,Growing of millet,5,A_Millt,True,
ai_0111_27,ai_0111,Growing of fonio,5,A_Fonio,True,
ai_0111_28,ai_0111,Growing of oat,5,A_Oatss,True,
ai_0111_29,ai_0111,Growing of okra,5,A_Okraa,True,
ai_0111_30,ai_0111,"Growing of pea, green",5,A_Peasn,True,
ai_0111_31,ai_0111,Growing of vetch,5,A_Vetcs,True,
ai_0111_32,ai_0111,Growing of quinoa,5,A_Quina,True,
ai_0111_33,ai_0111,Growing of poppy seed,5,A_Poppd,True,
ai_0111_34,ai_0111,Growing of pigeon pea,5,A_Piges,True,
ai_0111_35,ai_0111,"production of lentil, dry",5,A_Lents,True,
ai_0111_36,ai_0111,Growing of puls nes,5,A_Pulss,True,
ai_0111_37,ai_0111,"production of cow pea, dry",5,A_Cowpea,True,
ai_0111_38,ai_0111,Growing of string bean,5,A_Stris,True,
ai_0111_39,ai_0111,Growing of triticale,5,A_Trite,True,
ai_0111_40,ai_011,Growing of rice,4,A_Ricey,True,
ai_0113,ai_011,"Growing of vegetables and melons, roots and tubers",4,,,
ai_0113_1,ai_0113,Growing of artichoke,5,A_Artis,True,
ai_0113_2,ai_0113,Growing of asparagus,5,A_Aspas,True,
ai_0113_3,ai_0113,Growing of carrot,5,A_Carrs,True,
ai_0113_4,ai_0113,Growing of cassava,5,A_Cassa,True,
ai_0113_5,ai_0113,Growing of cucumber and gherkin,5,A_Cucus,True,
ai_0113_6,ai_0113,Growing of cabbage,5,A_Cabbs,True,
ai_0113_7,ai_0113,Growing of eggplant,5,A_Eggpl,True,
ai_0113_8,ai_0113,"Growing of tomato, fresh",5,A_Tomas,True,
ai_0113_9,ai_0113,Growing of cauliflower and broccoli,5,A_Cauli,True,
ai_0113_10,ai_0113,Growing of spinach,5,A_Spinh,True,
ai_0113_11,ai_0113,Growing of chicory root,5,A_Chics,True,
ai_0113_12,ai_0113,Growing of lettuce and chicory,5,A_Letty,True,
ai_0113_13,ai_0113,"Growing of melon, cantaloup",5,A_Melon,True,
ai_0113_14,ai_0113,Growing of melonseed,5,A_Melonse,True,
ai_0113_15,ai_0113,Growing of mushroom,5,A_Mushs,True,
ai_0113_16,ai_0113,"Growing of onion, shallots (green)",5,A_Onion,True,
