00,早熟１,超早熟
01,早熟２,早熟2
02,早熟４,標準５
03,早熟３,早熟３
04,早熟５,標準２
05,早熟６,標準３
06,標準３,標準１
07,標準４,標準４
08,標準５,晩成２
09,晩成１,晩成１
0A,晩成２,超晩２
0B,晩成３,超晩１
0C,標準１,持続１
0D,標準２,持続２
0E,標準６,特殊２
0F,標準７,特殊１
