chord_name,root,bass,triad,fourth,chord_index
C#:dim7/b3,C#,E,Diminished,dim7,54
C#:aug/3,C#,G#,Augmented,N,55
C#:maj/5,C#,G#,Major,N,56
C#:maj7/5,C#,G#,Major,maj7,57
C#:maj6/5,C#,G#,Major,maj6,58
C#:7/5,C#,G#,Major,min7,59
C#:minmaj7/5,C#,G#,Minor,maj7,60
C#:min/5,C#,G#,Minor,N,61
C#:min7/5,C#,G#,Minor,min7,62
C#:dim/b5,C#,G,Diminished,N,63
C#:dim7/b5,C#,G,Diminished,dim7,64
C#:aug/#5,C#,A,Augmented,N,65
C#:sus2/5,C#,G#,Sus2,N,66
C#:sus4/5,C#,G#,Sus4,N,67
D:maj,D,D,Major,N,68
D:maj7,D,D,Major,maj7,69
D:maj6,D,D,Major,maj6,70
D:minmaj7,D,D,Minor,maj7,71
D:7,D,D,Major,min7,72
D:min,D,D,Minor,N,73
D:min7,D,D,Minor,min7,74
D:dim,D,D,Diminished,N,75
D:dim7,D,D,Diminished,dim7,76
D:aug,D,D,Augmented,N,77
D:sus2,D,D,Sus2,N,78
D:sus4,D,D,Sus4,N,79
D:maj/3,D,F#,Major,N,80
D:maj7/3,D,F#,Major,maj7,81
D:maj6/3,D,F#,Major,maj6,82
D:7/3,D,F#,Major,min7,83
D:minmaj7/b3,D,F,Minor,maj7,84
D:min/b3,D,F,Minor,N,85
D:min7/b3,D,F,Minor,min7,86
D:dim/b3,D,F,Diminished,N,87
D:dim7/b3,D,F,Diminished,dim7,88
D:aug/3,D,A,Augmented,N,89
D:maj/5,D,A,Major,N,90
D:maj7/5,D,A,Major,maj7,91
D:maj6/5,D,A,Major,maj6,92
D:7/5,D,A,Major,min7,93
D:minmaj7/5,D,A,Minor,maj7,94
D:min/5,D,A,Minor,N,95
D:min7/5,D,A,Minor,min7,96
D:dim/b5,D,G#,Diminished,N,97
D:dim7/b5,D,G#,Diminished,dim7,98
D:aug/#5,D,A#,Augmented,N,99
D:sus2/5,D,A,Sus2,N,100
D:sus4/5,D,A,Sus4,N,101
D#:maj,D#,D#,Major,N,102
D#:maj7,D#,D#,Major,maj7,103
D#:maj6,D#,D#,Major,maj6,104
D#:minmaj7,D#,D#,Minor,maj7,105
D#:7,D#,D#,Major,min7,106
D#:min,D#,D#,Minor,N,107
D#:min7,D#,D#,Minor,min7,108
D#:dim,D#,D#,Diminished,N,109
D#:dim7,D#,D#,Diminished,dim7,110
D#:aug,D#,D#,Augmented,N,111
D#:sus2,D#,D#,Sus2,N,112
D#:sus4,D#,D#,Sus4,N,113
D#:maj/3,D#,G,Major,N,114
D#:maj7/3,D#,G,Major,maj7,115
D#:maj6/3,D#,G,Major,maj6,116
D#:7/3,D#,G,Major,min7,117
D#:minmaj7/b3,D#,F#,Minor,maj7,118
D#:min/b3,D#,F#,Minor,N,119
D#:min7/b3,D#,F#,Minor,min7,120
D#:dim/b3,D#,F#,Diminished,N,121
D#:dim7/b3,D#,F#,Diminished,dim7,122
D#:aug/3,D#,A#,Augmented,N,123
D#:maj/5,D#,A#,Major,N,124
D#:maj7/5,D#,A#,Major,maj7,125
D#:maj6/5,D#,A#,Major,maj6,126
D#:7/5,D#,A#,Major,min7,127
D#:minmaj7/5,D#,A#,Minor,maj7,128
D#:min/5,D#,A#,Minor,N,129
D#:min7/5,D#,A#,Minor,min7,130
D#:dim/b5,D#,G#,Diminished,N,131
D#:dim7/b5,D#,G#,Diminished,dim7,132
D#:aug/#5,D#,B,Augmented,N,133
D#:sus2/5,D#,A#,Sus2,N,134
D#:sus4/5,D#,A#,Sus4,N,135
E:maj,E,E,Major,N,136
E:maj7,E,E,Major,maj7,137
E:maj6,E,E,Major,maj6,138
E:minmaj7,E,E,Minor,maj7,139
E:7,E,E,Major,min7,140
E:min,E,E,Minor,N,141
E:min7,E,E,Minor,min7,142
E:dim,E,E,Diminished,N,143
E:dim7,E,E,Diminished,dim7,144
E:aug,E,E,Augmented,N,145
E:sus2,E,E,Sus2,N,146
E:sus4,E,E,Sus4,N,147
E:maj/3,E,G#,Major,N,148
E:maj7/3,E,G#,Major,maj7,149
E:maj6/3,E,G#,Major,maj6,150
E:7/3,E,G#,Major,min7,151
E:minmaj7/b3,E,G,Minor,maj7,152
E:min/b3,E,G,Minor,N,153
E:min7/b3,E,G,Minor,min7,154
E:dim/b3,E,G,Diminished,N,155
E:dim7/b3,E,G,Diminished,dim7,156
E:aug/3,E,B,Augmented,N,157
E:maj/5,E,B,Major,N,158
E:maj7/5,E,B,Major,maj7,159
E:maj6/5,E,B,Major,maj6,160
E:7/5,E,B,Major,min7,161
E:minmaj7/5,E,B,Minor,maj7,162
E:min/5,E,B,Minor,N,163
E:min7/5,E,B,Minor,min7,164
E:dim/b5,E,A#,Diminished,N,165
E:dim7/b5,E,A#,Diminished,dim7,166
E:aug/#5,E,C,Augmented,N,167
E:sus2/5,E,B,Sus2,N,168
E:sus4/5,E,B,Sus4,N,169
F:maj,F,F,Major,N,170
F:maj7,F,F,Major,maj7,171
F:maj6,F,F,Major,maj6,172
F:minmaj7,F,F,Minor,maj7,173
F:7,F,F,Major,min7,174
F:min,F,F,Minor,N,175
F:min7,F,F,Minor,min7,176
F:dim,F,F,Diminished,N,177
F:dim7,F,F,Diminished,dim7,178
F:aug,F,F,Augmented,N,179
F:sus2,F,F,Sus2,N,180
F:sus4,F,F,Sus4,N,181
F:maj/3,F,A,Major,N,182
F:maj7/3,F,A,Major,maj7,183
F:maj6/3,F,A,Major,maj6,184
F:7/3,F,A,Major,min7,185
F:minmaj7/b3,F,G#,Minor,maj7,186
F:min/b3,F,G#,Minor,N,187
F:min7/b3,F,G#,Minor,min7,188
F:dim/b3,F,G#,Diminished,N,189
F:dim7/b3,F,G#,Diminished,dim7,190
F:aug/3,F,C,Augmented,N,191
F:maj/5,F,C,Major,N,192
F:maj7/5,F,C,Major,maj7,193
F:maj6/5,F,C,Major,maj6,194
F:7/5,F,C,Major,min7,195
F:minmaj7/5,F,C,Minor,maj7,196
F:min/5,F,C,Minor,N,197
F:min7/5,F,C,Minor,min7,198
F:dim/b5,F,B,Diminished,N,199
F:dim7/b5,F,B,Diminished,dim7,200
F:aug/#5,F,C#,Augmented,N,201
F:sus2/5,F,C,Sus2,N,202
F:sus4/5,F,C,Sus4,N,203
F#:maj,F#,F#,Major,N,204
F#:maj7,F#,F#,Major,maj7,205
F#:maj6,F#,F#,Major,maj6,206
F#:minmaj7,F#,F#,Minor,maj7,207
F#:7,F#,F#,Major,min7,208
F#:min,F#,F#,Minor,N,209
F#:min7,F#,F#,Minor,min7,210
F#:dim,F#,F#,Diminished,N,211
F#:dim7,F#,F#,Diminished,dim7,212
F#:aug,F#,F#,Augmented,N,213
F#:sus2,F#,F#,Sus2,N,214
F#:sus4,F#,F#,Sus4,N,215
F#:maj/3,F#,A#,Major,N,216
F#:maj7/3,F#,A#,Major,maj7,217
F#:maj6/3,F#,A#,Major,maj6,218
F#:7/3,F#,A#,Major,min7,219
F#:minmaj7/b3,F#,A,Minor,maj7,220
F#:min/b3,F#,A,Minor,N,221
F#:min7/b3,F#,A,Minor,min7,222
F#:dim/b3,F#,A,Diminished,N,223
F#:dim7/b3,F#,A,Diminished,dim7,224
F#:aug/3,F#,C#,Augmented,N,225
F#:maj/5,F#,C#,Major,N,226
F#:maj7/5,F#,C#,Major,maj7,227
F#:maj6/5,F#,C#,Major,maj6,228
F#:7/5,F#,C#,Major,min7,229
F#:minmaj7/5,F#,C#,Minor,maj7,230
F#:min/5,F#,C#,Minor,N,231
F#:min7/5,F#,C#,Minor,min7,232
F#:dim/b5,F#,C,Diminished,N,233
F#:dim7/b5,F#,C,Diminished,dim7,234
F#:aug/#5,F#,D#,Augmented,N,235
F#:sus2/5,F#,C#,Sus2,N,236
F#:sus4/5,F#,C#,Sus4,N,237
G:maj,G,G,Major,N,238
G:maj7,G,G,Major,maj7,239
G:maj6,G,G,Major,maj6,240
G:minmaj7,G,G,Minor,maj7,241
G:7,G,G,Major,min7,242
G:min,G,G,Minor,N,243
G:min7,G,G,Minor,min7,244
G:dim,G,G,Diminished,N,245
G:dim7,G,G,Diminished,dim7,246
G:aug,G,G,Augmented,N,247
G:sus2,G,G,Sus2,N,248
G:sus4,G,G,Sus4,N,249
G:maj/3,G,B,Major,N,250
G:maj7/3,G,B,Major,maj7,251
G:maj6/3,G,B,Major,maj6,252
G:7/3,G,B,Major,min7,253
G:minmaj7/b3,G,A#,Minor,maj7,254
G:min/b3,G,A#,Minor,N,255
G:min7/b3,G,A#,Minor,min7,256
G:dim/b3,G,A#,Diminished,N,257
G:dim7/b3,G,A#,Diminished,dim7,258
G:aug/3,G,D,Augmented,N,259
G:maj/5,G,D,Major,N,260
G:maj7/5,G,D,Major,maj7,261
G:maj6/5,G,D,Major,maj6,262
G:7/5,G,D,Major,min7,263
G:minmaj7/5,G,D,Minor,maj7,264
G:min/5,G,D,Minor,N,265
G:min7/5,G,D,Minor,min7,266
G:dim/b5,G,C#,Diminished,N,267
G:dim7/b5,G,C#,Diminished,dim7,268
G:aug/#5,G,D#,Augmented,N,269
G:sus2/5,G,D,Sus2,N,270
G:sus4/5,G,D,Sus4,N,271
G#:maj,G#,G#,Major,N,272
G#:maj7,G#,G#,Major,maj7,273
G#:maj6,G#,G#,Major,maj6,274
G#:minmaj7,G#,G#,Minor,maj7,275
G#:7,G#,G#,Major,min7,276
G#:min,G#,G#,Minor,N,277
G#:min7,G#,G#,Minor,min7,278
G#:dim,G#,G#,Diminished,N,279
G#:dim7,G#,G#,Diminished,dim7,280
G#:aug,G#,G#,Augmented,N,281
G#:sus2,G#,G#,Sus2,N,282
G#:sus4,G#,G#,Sus4,N,283
G#:maj/3,G#,C,Major,N,284
G#:maj7/3,G#,C,Major,maj7,285
G#:maj6/3,G#,C,Major,maj6,286
G#:7/3,G#,C,Major,min7,287
G#:minmaj7/b3,G#,B,Minor,maj7,288
G#:min/b3,G#,B,Minor,N,289
G#:min7/b3,G#,B,Minor,min7,290
G#:dim/b3,G#,B,Diminished,N,291
G#:dim7/b3,G#,B,Diminished,dim7,292
G#:aug/3,G#,D#,Augmented,N,293
G#:maj/5,G#,D#,Major,N,294
G#:maj7/5,G#,D#,Major,maj7,295
G#:maj6/5,G#,D#,Major,maj6,296
G#:7/5,G#,D#,Major,min7,297
G#:minmaj7/5,G#,D#,Minor,maj7,298
G#:min/5,G#,D#,Minor,N,299
G#:min7/5,G#,D#,Minor,min7,300
G#:dim/b5,G#,D,Diminished,N,301
G#:dim7/b5,G#,D,Diminished,dim7,302
G#:aug/#5,G#,E,Augmented,N,303
G#:sus2/5,G#,D#,Sus2,N,304
G#:sus4/5,G#,D#,Sus4,N,305
A:maj,A,A,Major,N,306
A:maj7,A,A,Major,maj7,307
A:maj6,A,A,Major,maj6,308
A:minmaj7,A,A,Minor,maj7,309
A:7,A,A,Major,min7,310
A:min,A,A,Minor,N,311
A:min7,A,A,Minor,min7,312
A:dim,A,A,Diminished,N,313
A:dim7,A,A,Diminished,dim7,314
A:aug,A,A,Augmented,N,315
A:sus2,A,A,Sus2,N,316
A:sus4,A,A,Sus4,N,317
A:maj/3,A,C#,Major,N,318
A:maj7/3,A,C#,Major,maj7,319
A:maj6/3,A,C#,Major,maj6,320
A:7/3,A,C#,Major,min7,321
A:minmaj7/b3,A,C,Minor,maj7,322
A:min/b3,A,C,Minor,N,323
A:min7/b3,A,C,Minor,min7,324
A:dim/b3,A,C,Diminished,N,325
A:dim7/b3,A,C,Diminished,dim7,326
A:aug/3,A,E,Augmented,N,327
A:maj/5,A,E,Major,N,328
A:maj7/5,A,E,Major,maj7,329
A:maj6/5,A,E,Major,maj6,330
A:7/5,A,E,Major,min7,331
A:minmaj7/5,A,E,Minor,maj7,332
A:min/5,A,E,Minor,N,333
A:min7/5,A,E,Minor,min7,334
A:dim/b5,A,D#,Diminished,N,335
A:dim7/b5,A,D#,Diminished,dim7,336
A:aug/#5,A,F,Augmented,N,337
A:sus2/5,A,E,Sus2,N,338
A:sus4/5,A,E,Sus4,N,339
A#:maj,A#,A#,Major,N,340
A#:maj7,A#,A#,Major,maj7,341
A#:maj6,A#,A#,Major,maj6,342
A#:minmaj7,A#,A#,Minor,maj7,343
A#:7,A#,A#,Major,min7,344
A#:min,A#,A#,Minor,N,345
A#:min7,A#,A#,Minor,min7,346
A#:dim,A#,A#,Diminished,N,347
A#:dim7,A#,A#,Diminished,dim7,348
A#:aug,A#,A#,Augmented,N,349
A#:sus2,A#,A#,Sus2,N,350
A#:sus4,A#,A#,Sus4,N,351
A#:maj/3,A#,D,Major,N,352
A#:maj7/3,A#,D,Major,maj7,353
A#:maj6/3,A#,D,Major,maj6,354
A#:7/3,A#,D,Major,min7,355
A#:minmaj7/b3,A#,C#,Minor,maj7,356
A#:min/b3,A#,C#,Minor,N,357
A#:min7/b3,A#,C#,Minor,min7,358
A#:dim/b3,A#,C#,Diminished,N,359
A#:dim7/b3,A#,C#,Diminished,dim7,360
A#:aug/3,A#,F,Augmented,N,361
A#:maj/5,A#,F,Major,N,362
A#:maj7/5,A#,F,Major,maj7,363
A#:maj6/5,A#,F,Major,maj6,364
A#:7/5,A#,F,Major,min7,365
A#:minmaj7/5,A#,F,Minor,maj7,366
A#:min/5,A#,F,Minor,N,367
A#:min7/5,A#,F,Minor,min7,368
A#:dim/b5,A#,E,Diminished,N,369
A#:dim7/b5,A#,E,Diminished,dim7,370
A#:aug/#5,A#,F#,Augmented,N,371
A#:sus2/5,A#,F,Sus2,N,372
A#:sus4/5,A#,F,Sus4,N,373
B:maj,B,B,Major,N,374
B:maj7,B,B,Major,maj7,375
B:maj6,B,B,Major,maj6,376
B:minmaj7,B,B,Minor,maj7,377
B:7,B,B,Major,min7,378
B:min,B,B,Minor,N,379
B:min7,B,B,Minor,min7,380
B:dim,B,B,Diminished,N,381
B:dim7,B,B,Diminished,dim7,382
B:aug,B,B,Augmented,N,383
B:sus2,B,B,Sus2,N,384
B:sus4,B,B,Sus4,N,385
B:maj/3,B,D#,Major,N,386
B:maj7/3,B,D#,Major,maj7,387
B:maj6/3,B,D#,Major,maj6,388
B:7/3,B,D#,Major,min7,389
B:minmaj7/b3,B,D,Minor,maj7,390
B:min/b3,B,D,Minor,N,391
B:min7/b3,B,D,Minor,min7,392
B:dim/b3,B,D,Diminished,N,393
B:dim7/b3,B,D,Diminished,dim7,394
B:aug/3,B,F#,Augmented,N,395
B:maj/5,B,F#,Major,N,396
B:maj7/5,B,F#,Major,maj7,397
B:maj6/5,B,F#,Major,maj6,398
B:7/5,B,F#,Major,min7,399
B:minmaj7/5,B,F#,Minor,maj7,400
B:min/5,B,F#,Minor,N,401
B:min7/5,B,F#,Minor,min7,402
B:dim/b5,B,F,Diminished,N,403
B:dim7/b5,B,F,Diminished,dim7,404
B:aug/#5,B,G,Augmented,N,405
B:sus2/5,B,F#,Sus2,N,406
B:sus4/5,B,F#,Sus4,N,407
N,N,N,N,N,408
X,X,X,X,X,409
