chord_name,root,bass,triad,fourth,chord_index
C:maj,C,C,Major,N,0
C:maj7,C,C,Major,maj7,1
C:maj6,C,C,Major,maj6,2
C:minmaj7,C,C,Minor,maj7,3
C:7,C,C,Major,min7,4
C:min,C,C,Minor,N,5
C:min7,C,C,Minor,min7,6
C:dim,C,C,Diminished,N,7
C:dim7,C,C,Diminished,dim7,8
C:aug,C,C,Augmented,N,9
C:sus2,C,C,Sus2,N,10
C:sus4,C,C,Sus4,N,11
C:maj/3,C,E,Major,N,12
C:maj7/3,C,E,Major,maj7,13
C:maj6/3,C,E,Major,maj6,14
C:7/3,C,E,Major,min7,15
C:minmaj7/b3,C,D#,Minor,maj7,16
C:min/b3,C,D#,Minor,N,17
C:min7/b3,C,D#,Minor,min7,18
C:dim/b3,C,D#,Diminished,N,19
C:dim7/b3,C,D#,Diminished,dim7,20
C:aug/3,C,G,Augmented,N,21
C:maj/5,C,G,Major,N,22
C:maj7/5,C,G,Major,maj7,23
C:maj6/5,C,G,Major,maj6,24
C:7/5,C,G,Major,min7,25
C:minmaj7/5,C,G,Minor,maj7,26
C:min/5,C,G,Minor,N,27
C:min7/5,C,G,Minor,min7,28
C:dim/b5,C,F#,Diminished,N,29
C:dim7/b5,C,F#,Diminished,dim7,30
C:aug/#5,C,G#,Augmented,N,31
C:sus2/5,C,G,Sus2,N,32
C:sus4/5,C,G,Sus4,N,33
C#:maj,C#,C#,Major,N,34
C#:maj7,C#,C#,Major,maj7,35
C#:maj6,C#,C#,Major,maj6,36
C#:minmaj7,C#,C#,Minor,maj7,37
C#:7,C#,C#,Major,min7,38
C#:min,C#,C#,Minor,N,39
C#:min7,C#,C#,Minor,min7,40
C#:dim,C#,C#,Diminished,N,41
C#:dim7,C#,C#,Diminished,dim7,42
C#:aug,C#,C#,Augmented,N,43
C#:sus2,C#,C#,Sus2,N,44
C#:sus4,C#,C#,Sus4,N,45
C#:maj/3,C#,F,Major,N,46
C#:maj7/3,C#,F,Major,maj7,47
C#:maj6/3,C#,F,Major,maj6,48
C#:7/3,C#,F,Major,min7,49
C#:minmaj7/b3,C#,E,Minor,maj7,50
C#:min/b3,C#,E,Minor,N,51
C#:min7/b3,C#,E,Minor,min7,52
C#:dim/b3,C#,E,Diminished,N,53
