RPM,power
2.7102,0.9928
167.3958,1.1213
284.6842,1.2392
464.6334,1.4228
601.7758,1.5538
709.6536,1.6582
888.3978,1.8287
1292.0785,2.1242
1496.9315,2.189
1728.2948,2.2784
1816.261,2.3116
2006.0512,2.4629
2091.4066,2.5422
2298.2679,2.7151
2641.6978,2.9962
2909.2116,3.2253
3111.6545,3.4286
3313.4948,3.661
3473.1596,3.8393
3603.7032,3.9642
3759.3512,4.124
3922.0285,4.2609
4031.4842,4.3534
4170.3481,4.4776
4334.7469,4.6032
4413.073,4.6609
4603.4657,4.8165
4766.5447,4.9527
4889.9155,5.0294
5010.7615,5.1249
5190.3091,5.2536
5373.07,5.4151
5545.7892,5.4824
5672.316,5.5545
5830.9766,5.6361
6003.6957,5.7501
6142.2727,5.7851
6310.9751,5.8427
6482.69,5.8968
6603.1917,5.9382
6743.5762,5.9868
6841.1826,6.0229
7027.9603,6.0805
7203.3572,6.131
7332.2271,6.131
7552.1428,6.131
7811.2214,6.1478
7911.6395,6.179
8061.2625,6.2715
8208.8771,6.3568
8371.5544,6.4348
