RPM,power
84.0488,0.9982
219.6133,1.1351
313.0021,1.2378
1203.7106,2.1434
1605.383,2.3404
1786.1356,2.4384
1918.6875,2.5162
2125.5488,2.6334
2257.8137,2.7131
2424.7947,2.8304
2682.3671,3.0628
2800.76,3.1706
2948.9772,3.2916
3474.8811,3.9433
3597.6781,4.0915
3744.2885,4.2357
3874.2582,4.3582
4009.3923,4.4843
4153.9943,4.6104
4333.8862,4.7906
4425.1232,4.8698
4599.8507,5.032
4733.9088,5.1567
4852.2348,5.2534
5022.8117,5.3584
5179.7652,5.4635
5290.3255,5.5372
5557.8393,5.7178
5696.4163,5.8187
5847.0435,5.922
5983.0382,6.0033
6136.2476,6.0993
6289.8873,6.1688
6418.2216,6.229
6580.0956,6.2907
6732.7311,6.3592
6847.2077,6.3976
6999.8432,6.4384
7178.5874,6.4967
7367.3735,6.5177
7501.9337,6.5393
7614.402,6.5537
7768.1851,6.5634
7888.8781,6.6234
8044.9948,6.7075
8199.8395,6.794
8345.4457,6.8716
8425.7802,6.9309
