compound,Gh,Hh,Cph,V,Hig,Sig,Cpig
2-Methylpropylbenzene,8.77,,,,,,
n-Butylbenzene,6.83,,,,-12.35,,174.3
n-Butylbenzene,6.46,,,,,,
n-Butylbenzene,5.65,,,,,,
n-Butylbenzene,6.98,,,,,,
n-Butylbenzene,6.66,,,,,,
n-Butylbenzene,6.51,,,,,,
n-Butylbenzene,5.1,,,,,,
n-Butylbenzene,7.08,,,,,,
n-Butylbenzene,6.53,,,,,,
n-Butylbenzene,7.12,,,,,,
n-Butylbenzene,6.53,,,,,,
n-Butylbenzene,6.92,,,,,,
n-Butylbenzene,5.92,,,,,,
n-Butylbenzene,3.35,,,,,,
n-Butylbenzene,6.77,,,,,,
n-Butylbenzene,3.45,,,,,,
n-Pentylbenzene,6.91,,,,-34.17,,
n-Pentylbenzene,7.54,,,,,,
n-Pentylbenzene,7.22,,,,,,
"1,3,5-Triethylbenzene",6.32,,,,,,224.4
n-Hexylbenzene,8.15,,,,,,
n-Hexylbenzene,7.91,,,,,,
n-Hexylbenzene,7.85,,,,,,
n-Decylbenzene,12.51,,,,,,
Cyclopropane,11.09,,,,53.3,237.38,55.5
Cyclopropane,11.18,,,,,,
Cyclopropane,11.07,,,,,,
Cyclopropane,11.07,,,,,,
Cyclopropane,10.82,,,,,,
Cyclopropane,11.02,,,,,,
Cyclopropane,11.23,,,,,,
Cyclopropane,11.23,,,,,,
Cyclopropane,11.19,,,,,,
Cyclopentane,12.81,,,,-76.38,292.86,82.8
Cyclopentane,12.6,,,,,,
Cyclopentane,13.01,,,,,,
Cyclopentane,12.84,,,,,,
Cyclopentane,12.9,,,,,,
Cyclopentane,11.02,,,,,,
Cyclopentane,12.97,,,,,,
Cyclohexane,12.9,,,,-123.28,297.39,106.3
Cyclohexane,12.77,,,,,,
Cyclohexane,13.17,,,,,,
Cyclohexane,13.11,,,,,,
Cyclohexane,12.9,,,,,,
Cyclohexane,12.95,,,,,,
Cyclohexane,12.83,,,,,,
Cyclohexane,13.2,,,,,,
Cyclohexane,12.98,,,,,,
Cyclohexane,13.24,,,,,,
Cyclohexane,13.11,,,,,,
Cyclohexane,11.32,,,,,,
Cyclohexane,12.63,,,,,,
Cyclohexane,12.96,,,,,,
Cyclohexane,13.02,,,,,,
Cyclohexane,11.79,,,,,,
Cyclohexane,13.07,,,,,,
Cyclohexane,13.1,,,,,,
Cyclohexane,12.17,,,,,,
Cyclohexane,12.77,,,,,,
Methylcyclopentane,14.49,,,,-106.12,339.9,109.8
Methylcyclopentane,14.62,,,,,,
Methylcyclopentane,14.61,,,,,,
Cycloheptane,11.52,,,,-118,342.33,132.2
Cycloheptane,11.27,,,,,,
Methylcyclohexane,10.5,,,,-154.66,343.4,136
Methylcyclohexane,15.12,,,,,,
Methylcyclohexane,11.7,,,,,,
Methylcyclohexane,14.59,,,,,,
Methylcyclohexane,14.79,,,,,,
Methylcyclohexane,15.17,,,,,,
Methylcyclohexane,14.83,,,,,,
Methylcyclohexane,14.71,,,,,,
Methylcyclohexane,15.04,,,,,,
"1,1,3-Trimethylcyclopentane",18.27,,,,,,
Cyclooctane,11.52,,,,-124,366.73,147.1
Propylcyclopentane,16.97,,,,-147.68,,160.3
"1,1,3-Trimethylcyclohexane",17.14,,,,,,
Pentylcyclopentane,19.06,,,,,,
"1,3-Cyclopentadiene",6.89,,,,132.4,274.15,75.1
"1,3-Cyclopentadiene",9.95,,,,,,
Cyclopentene,9.35,,,,32.2,291.38,81.3
Cyclopentene,7.49,,,,,,
Cyclopentene,9.96,,,,,,
Cyclopentene,10.27,,,,,,
"1,4-Cyclohexadiene",4.98,,,,104.75,296.6,94.8
"1,4-Cyclohexadiene",5.7,,,,,,
Cyclohexene,8.4,,,,-4.93,310.63,101.5
Cyclohexene,9.53,,,,,,
Cyclohexene,8.91,,,,,,
Cyclohexene,9.77,,,,,,
Cyclohexene,8.63,,,,,,
Cyclohexene,8.95,,,,,,
Cyclohexene,9.47,,,,,,
Cyclohexene,10.19,,,,,,
Cyclohexene,10.48,,,,,,
Cyclohexene,10.66,,,,,,
"1,3,5-Cycloheptatriene",3.6,,,,180.8,316.36,106.3
"1,3,5-Cycloheptatriene",3.8,,,,,,
1-Methylcyclohexene,11.04,,,,-43.74,,
Cycloheptene,9.68,,,,-9.2,332.12,124.1
Methanol,-13.19,,,,-201.27,239.88,44.2
Methanol,-12.89,,,,,,
Methanol,-13.25,,,,,,
Methanol,-13.01,,,,,,
Methanol,-13.41,,,,,,
Methanol,-13.25,,,,,,
Methanol,-12.61,,,,,,
Methanol,-13.31,,,,,,
Methanol,-13.39,,,,,,
Methanol,-13.77,,,,,,
Methanol,-13.44,,,,,,
Methanol,-12.98,,,,,,
Methanol,-13.25,,,,,,
Methanol,-13.01,,,,,,
Methanol,-13.84,,,,,,
Methanol,-13.19,,,,,,
Methanol,-13.2,,,,,,
Methanol,-13.4,,,,,,
Methanol,-13.2,,,,,,
Methanol,-13.15,,,,,,
Methanol,-13.1,,,,,,
Methanol,-13.18,,,,,,
Methanol,-17.85,,,,,,
Methanol,-13.15,,,,,,
Methanol,-13.29,,,,,,
Methanol,-13.03,,,,,,
Methanol,-13.4,,,,,,
Methanol,-13.19,,,,,,
Methanol,-12.97,,,,,,
Methanol,-12.52,,,,,,
Methanol,-12.85,,,,,,
Methanol,-13.2,,,,,,
Methanol,-13.5,,,,,,
Methanol,-12.48,,,,,,
Methanol,-13.44,,,,,,
Methanol,-13.37,,,,,,
Ethanol,-13.07,,,,-235.14,280.64,65.4
