region_id;iso_smaf;gr_age;hrs_inf
1;1;1;.8114286
1;1;2;.8114286
1;1;3;9.637143
1;2;1;1.349286
1;2;2;1.349286
1;2;3;16.956
1;3;1;3.940333
1;3;2;3.940333
1;3;3;5.974965
1;4;1;2.54925
1;4;2;2.54925
1;4;3;24.75944
1;5;1;7.921341
1;5;2;7.921341
1;5;3;6.552409
1;6;1;5.538136
1;6;2;5.538136
1;6;3;10.12894
1;7;1;4.757138
1;7;2;4.757138
1;7;3;7.215913
1;8;1;4.434858
1;8;2;4.434858
1;8;3;8.017573
1;9;1;8.76772
1;9;2;8.76772
1;9;3;14.09704
1;10;1;5.777639
1;10;2;5.777639
1;10;3;6.86709
1;11;1;4.723298
1;11;2;4.723298
1;11;3;8.477737
1;12;1;4.947169
1;12;2;4.947169
1;12;3;8.00116
1;13;1;9.281109
1;13;2;9.281109
1;13;3;9.78751
1;14;1;4.912293
1;14;2;4.912293
1;14;3;13.60281
2;1;1;6.96
2;1;2;6.96
2;1;3;11.38798
2;2;1;4.758
2;2;2;4.758
2;2;3;16.12889
2;3;1;5.8375
2;3;2;5.8375
2;3;3;9.48058
2;4;1;16.09419
2;4;2;16.09419
2;4;3;18.73622
2;5;1;5.838826
2;5;2;5.838826
2;5;3;7.855733
2;6;1;7.754722
2;6;2;7.754722
2;6;3;12.30286
2;7;1;5.509257
2;7;2;5.509257
2;7;3;8.951694
2;8;1;11.58877
2;8;2;11.58877
2;8;3;11.96176
2;9;1;17.28786
2;9;2;17.28786
2;9;3;14.39307
2;10;1;4.120513
2;10;2;4.120513
2;10;3;8.625143
2;11;1;4.884286
2;11;2;4.884286
2;11;3;14.2512
2;12;1;4.730935
2;12;2;4.730935
2;12;3;11.06914
2;13;1;12.201
2;13;2;12.201
2;13;3;18.20971
2;14;1;4.31325
2;14;2;4.31325
2;14;3;7.478836
3;1;1;.9670588
3;1;2;.9670588
3;1;3;20.23568
3;2;1;1.112308
3;2;2;1.112308
3;2;3;2.365454
3;3;1;9.319127
3;3;2;9.319127
3;3;3;17.38086
3;4;1;6.577179
3;4;2;6.577179
3;4;3;23.55429
3;5;1;7.952614
3;5;2;7.952614
3;5;3;15.32394
3;6;1;19.48947
3;6;2;19.48947
3;6;3;29.89912
3;7;1;7.865505
3;7;2;7.865505
3;7;3;21.54324
3;8;1;15.68603
3;8;2;15.68603
3;8;3;21.24472
3;9;1;22.86801
3;9;2;22.86801
3;9;3;37.16325
3;10;1;3.553843
3;10;2;3.553843
3;10;3;11.05977
3;11;1;3.560368
3;11;2;3.560368
3;11;3;12.52532
3;12;1;5.467238
3;12;2;5.467238
3;12;3;22.70893
3;13;1;8.449035
3;13;2;8.449035
3;13;3;18.33838
3;14;1;2.126527
3;14;2;2.126527
3;14;3;12.6179
4;1;1;5.138333
4;1;2;5.138333
4;1;3;8.150035
4;2;1;4.722353
4;2;2;4.722353
4;2;3;5.356079
4;3;1;7.773974
4;3;2;7.773974
4;3;3;6.049769
4;4;1;21.8056
4;4;2;21.8056
4;4;3;10.67735
4;5;1;4.882179
4;5;2;4.882179
4;5;3;9.93729
4;6;1;10.24331
4;6;2;10.24331
4;6;3;16.0419
4;7;1;5.324313
4;7;2;5.324313
4;7;3;8.4997
4;8;1;9.19415
4;8;2;9.19415
4;8;3;11.47329
4;9;1;18.56945
4;9;2;18.56945
4;9;3;18.64753
4;10;1;3.023049
4;10;2;3.023049
4;10;3;7.647385
4;11;1;7.027734
4;11;2;7.027734
4;11;3;11.31688
4;12;1;6.762357
4;12;2;6.762357
4;12;3;8.445583
4;13;1;4.482587
4;13;2;4.482587
4;13;3;7.124123
4;14;1;4.21604
4;14;2;4.21604
4;14;3;6.657845
5;1;1;5.138333
5;1;2;5.138333
5;1;3;8.150035
5;2;1;4.722353
5;2;2;4.722353
5;2;3;5.356079
5;3;1;7.773974
5;3;2;7.773974
5;3;3;6.049769
5;4;1;21.8056
5;4;2;21.8056
5;4;3;10.67735
5;5;1;4.882179
5;5;2;4.882179
5;5;3;9.93729
5;6;1;10.24331
5;6;2;10.24331
5;6;3;16.0419
5;7;1;5.324313
5;7;2;5.324313
5;7;3;8.4997
5;8;1;9.19415
5;8;2;9.19415
5;8;3;11.47329
5;9;1;18.56945
5;9;2;18.56945
5;9;3;18.64753
5;10;1;3.023049
5;10;2;3.023049
5;10;3;7.647385
5;11;1;7.027734
5;11;2;7.027734
5;11;3;11.31688
5;12;1;6.762357
5;12;2;6.762357
5;12;3;8.445583
5;13;1;4.482587
5;13;2;4.482587
5;13;3;7.124123
5;14;1;4.21604
5;14;2;4.21604
5;14;3;6.657845
6;1;1;2.115769
6;1;2;2.115769
6;1;3;7.044762
6;2;1;.1475
6;2;2;.1475
6;2;3;3.0852
6;3;1;4.414979
6;3;2;4.414979
6;3;3;14.46855
6;4;1;5.7125
6;4;2;5.7125
6;4;3;5.569534
6;5;1;4.312698
6;5;2;4.312698
6;5;3;4.108156
6;6;1;2.568517
6;6;2;2.568517
6;6;3;7.642836
6;7;1;2.81226
6;7;2;2.81226
6;7;3;4.038437
6;8;1;6.856756
6;8;2;6.856756
6;8;3;4.987178
6;9;1;4.34963
6;9;2;4.34963
6;9;3;5.271239
6;10;1;8.432605
6;10;2;8.432605
6;10;3;4.081292
6;11;1;3.169412
6;11;2;3.169412
6;11;3;7.318301
6;12;1;1.881338
6;12;2;1.881338
6;12;3;4.567936
6;13;1;4.84
6;13;2;4.84
6;13;3;7.518246
6;14;1;3.391577
6;14;2;3.391577
6;14;3;5.090328
7;1;1;5.138333
7;1;2;5.138333
7;1;3;8.150035
7;2;1;4.722353
