region_id;annee;nb_usagers_avd;iso_smaf1;iso_smaf2;iso_smaf3;iso_smaf4;iso_smaf5;iso_smaf6;iso_smaf7;iso_smaf8;iso_smaf9;iso_smaf10;iso_smaf11;iso_smaf12;iso_smaf13;iso_smaf14;heures_tot_trav_avd;nb_etc_avd;nb_etc_avd_clsc;nb_etc_avq_clsc;tx_hrs_dep_avd;tx_hrs_admin_avd;sal_avd;cout_hr_services_avd;tx_hrs_dep_avq;tx_hrs_admin_avq;contribution_usager
1;2015;3553.917;.304547;.139752;.040706;.229911;.058691;.06059;.046967;.031186;.055713;.01224;.006917;.00483;.006026;.001923;554719.6;314.7345;;;.05097374;.09288506;17.5475;20.49603;.05097374;.09288506;7.588099
1;2016;3170.417;.327244;.134945;.042134;.222395;.064187;.046498;.053673;.024734;.054672;.009068;.010067;.005651;.003207;.001525;447632;253.9756;;;.05099327;.09292064;17.7188;20.69739;.05099327;.09292064;7.22608
1;2017;3174.083;.318176;.122581;.038226;.249022;.054661;.044606;.046076;.032267;.054163;.019507;.008086;.007141;.004069;.001418;449617.2;255.1019;;;.05169013;.09444296;18.0425;21.13034;.05169013;.09444296;6.833047
1;2018;3503.25;.330312;.1123;.036062;.232855;.073479;.060016;.044054;.027141;.054235;.008992;.008088;.006613;.003211;.00264;455341.6;258.3499;;;.05534822;.10143706;19.0875;22.63658;.05534822;.10143706;7.2832
1;2019;3523;.349749;.112049;.035032;.218682;.062092;.050904;.04894;.028598;.060294;.013483;.008208;.006883;.004045;.001041;489243.8;277.5851;85.44007;24.00521;.05621018;.10426816;20.0313;23.86031;.05621018;.10426816;7.127521
2;2015;3647.917;.388258;.098161;.027162;.224283;.057065;.053295;.043678;.02426;.054917;.009754;.005003;.006488;.006191;.001485;605185.8;343.3678;;;.05097374;.09288506;19.842;23.17608;.05097374;.09288506;9.596584
2;2016;3300.417;.354652;.083853;.024391;.257796;.061103;.053832;.047545;.027749;.06378;.010958;.005883;.003409;.00308;.001969;505478.9;286.7966;;;.05099327;.09292064;20.626;24.09337;.05099327;.09292064;9.599941
2;2017;3257.167;.309881;.081078;.026327;.279819;.065138;.065113;.048355;.036612;.057898;.011769;.008341;.004656;.002917;.002098;511779.7;290.3715;;;.05169013;.09444296;21.492;25.1702;.05169013;.09444296;9.642168
2;2018;3432.667;.322733;.075646;.026243;.261798;.061371;.062658;.055472;.030467;.066882;.015537;.008108;.007623;.00352;.001942;518196;294.0119;;;.05534822;.10143706;22.95;27.21727;.05534822;.10143706;10.3698
2;2019;3114.833;.296779;.08612;.024052;.269624;.059688;.075579;.046765;.041067;.063727;.013323;.007759;.007116;.005832;.002568;492567.4;279.4709;70.30178;48.08163;.05621018;.10426816;24.05;28.64726;.05621018;.10426816;10.25024
3;2015;3762.167;.295685;.08014;.024432;.279914;.049728;.063195;.043149;.043836;.076574;.01679;.009813;.011119;.003611;.002016;358350.3;203.3194;;;.05097374;.09288506;21.4729;25.08097;.05097374;.09288506;12.12383
3;2016;3580.917;.294291;.086291;.023225;.285029;.053222;.05904;.043378;.037863;.07647;.01266;.010542;.010705;.00384;.003444;303890;172.4199;;;.05099327;.09292064;21.8471;25.5198;.05099327;.09292064;12.22031
3;2017;3847.333;.295941;.079232;.017111;.282728;.059868;.060951;.051724;.039421;.069074;.013148;.010873;.011891;.005112;.002924;299590.6;169.9805;;;.05169013;.09444296;22.5729;26.43604;.05169013;.09444296;12.19167
3;2018;3667.75;.295254;.076182;.018449;.262218;.064322;.065481;.051258;.049008;.071956;.017904;.011383;.00952;.005498;.001568;283649.9;160.9361;;;.05534822;.10143706;23.6429;28.03895;.05534822;.10143706;12.64767
3;2019;3290.25;.313553;.076438;.014817;.285921;.050883;.058886;.044779;.048375;.06889;.013753;.011448;.006053;.004255;.00195;263534;149.5228;22.26564;51.68442;.05621018;.10426816;24.3857;29.04715;.05621018;.10426816;12.24266
4;2015;5281.917;.423994;.108767;.024786;.224666;.051181;.042993;.035072;.023634;.042393;.007873;.004181;.004465;.003739;.002256;497812.2;282.4466;;;.05097374;.09288506;17.8408;20.83858;.05097374;.09288506;8.642771
4;2016;5057.583;.410077;.1056;.029477;.218517;.056433;.04022;.038589;.023974;.052001;.006772;.006146;.006031;.003707;.002455;440654.6;250.0168;;;.05099327;.09292064;18.5062;21.61716;.05099327;.09292064;8.725179
4;2017;5115.417;.410556;.096408;.029177;.213847;.051413;.050419;.038983;.023182;.052765;.010084;.006419;.009188;.00505;.002509;445086.1;252.5311;;;.05169013;.09444296;18.8508;22.07702;.05169013;.09444296;8.266704
4;2018;5196.583;.415978;.099023;.029891;.218204;.056159;.048445;.036691;.029571;.036995;.009253;.006302;.007377;.003608;.002502;399876.2;226.8801;;;.05534822;.10143706;19.4042;23.01213;.05534822;.10143706;8.227454
4;2019;5295.583;.393205;.096983;.037815;.210238;.052796;.056195;.043291;.031567;.04702;.011236;.006468;.005555;.005146;.002486;393451.7;223.235;18.83071;29.46843;.05621018;.10426816;20.2542;24.12584;.05621018;.10426816;8.006679
5;2015;2727.917;.348495;.095036;.016557;.270475;.061433;.047197;.053185;.026669;.04567;.016924;.004307;.008706;.003146;.002199;247400.2;140.3689;;;.05097374;.09288506;18.055;21.08881;.05097374;.09288506;9.634157
5;2016;2517.667;.342016;.105355;.026248;.242884;.059678;.046571;.049053;.028995;.058123;.018006;.00662;.008473;.004667;.00331;209220.8;118.7068;;;.05099327;.09292064;19.3825;22.64083;.05099327;.09292064;10.3625
5;2017;2598.5;.338497;.080976;.022064;.246071;.062247;.044641;.063242;.042268;.056988;.015458;.008659;.012892;.004394;.001603;198831;112.8119;;;.05169013;.09444296;19.9925;23.41407;.05169013;.09444296;10.22131
5;2018;2855.667;.336466;.097175;.017013;.237919;.067964;.042226;.065075;.046662;.054541;.012928;.007412;.006362;.004115;.004144;202044;114.6349;;;.05534822;.10143706;20.7938;24.66009;.05534822;.10143706;10.368
5;2019;2910.5;.328809;.094972;.023192;.248955;.063821;.042118;.06196;.039226;.062189;.017551;.005268;.007043;.003293;.001603;190079.1;107.8463;.6663396;.6689975;.05621018;.10426816;21.9;26.08628;.05621018;.10426816;10.31329
6;2015;9805.417;.315625;.107339;.015306;.310891;.037411;.054494;.028454;.030238;.061284;.010521;.007606;.009221;.007147;.004462;512021.8;290.5089;;;.05097374;.09288506;19.5944;22.88693;.05097374;.09288506;10.41899
6;2016;8880.167;.307023;.094236;.014151;.322901;.038419;.055996;.031794;.027843;.068364;.012969;.008793;.007414;.006926;.003172;464951.8;263.8024;;;.05099327;.09292064;19.8144;23.14539;.05099327;.09292064;10.01748
6;2017;9034.75;.300857;.089165;.017073;.336682;.034958;.054954;.029534;.029257;.06321;.011511;.008486;.012415;.007158;.004741;464358.1;263.4656;;;.05169013;.09444296;20.3256;23.80413;.05169013;.09444296;9.730425
6;2018;9036.917;.301725;.091265;.013934;.326891;.039772;.055688;.028937;.03316;.067197;.008521;.009452;.010725;.008585;.00415;456111;258.7864;;;.05534822;.10143706;21.2306;25.17811;.05534822;.10143706;9.919657
6;2019;8752.75;.312835;.083374;.012653;.323489;.038731;.057991;.033342;.03338;.063037;.011901;.008635;.009902;.006427;.004303;455056.5;258.1881;34.0816;12.00008;.05621018;.10426816;21.9389;26.13261;.05621018;.10426816;9.398693
7;2015;1399.583;.290622;.103781;.017446;.318845;.055255;.042274;.042394;.036975;.059482;.008812;.007264;.005537;.005597;.005716;123089.2;69.83785;;;.05097374;.09288506;17.925;20.93697;.05097374;.09288506;8.578434
7;2016;1420.833;.29478;.093314;.006334;.335601;.043402;.052727;.035132;.044692;.047859;.016657;.006452;.010909;.008387;.003754;115788.6;65.69565;;;.05099327;.09292064;18.1125;21.15733;.05099327;.09292064;8.19424
7;2017;1464.75;.292997;.098595;.014109;.292598;.048017;.06537;.051033;.03533;.056437;.011094;.011379;.012232;.008193;.002617;117681.7;66.76975;;;.05169013;.09444296;18.745;21.95307;.05169013;.09444296;7.891834
7;2018;1493.333;.289732;.083929;.015513;.294252;.053906;.075391;.051562;.031696;.066574;.008315;.012667;.007422;.004799;.004241;116903.2;66.32806;;;.05534822;.10143706;19.25;22.8293;.05534822;.10143706;7.720941
7;2019;1422.417;.271545;.096256;.015642;.304587;.05466;.058058;.048509;.039663;.069307;.012303;.009022;.009725;.007675;.003046;112099.9;63.60275;8.880905;4.401718;.05621018;.10426816;20.9;24.89513;.05621018;.10426816;8.378784
