region_id;iso_smaf;gr_age;hrs_avd
1;1;1;46.71853
1;1;2;37.09286
1;1;3;51.43479
1;2;1;46.71853
1;2;2;37.09286
1;2;3;51.43479
1;3;1;46.71853
1;3;2;37.09286
1;3;3;51.43479
1;4;1;87.26598
1;4;2;145.2168
1;4;3;42.45198
1;5;1;122.2412
1;5;2;58.51223
1;5;3;84.27663
1;6;1;87.26598
1;6;2;145.2168
1;6;3;42.45198
1;7;1;122.2412
1;7;2;58.51223
1;7;3;84.27663
1;8;1;122.2412
1;8;2;58.51223
1;8;3;84.27663
1;9;1;87.26598
1;9;2;145.2168
1;9;3;42.45198
1;10;1;122.2412
1;10;2;58.51223
1;10;3;84.27663
1;11;1;126.8649
1;11;2;115.7421
1;11;3;53.9071
1;12;1;126.8649
1;12;2;115.7421
1;12;3;53.9071
1;13;1;126.8649
1;13;2;115.7421
1;13;3;53.9071
1;14;1;126.8649
1;14;2;115.7421
1;14;3;53.9071
2;1;1;24.43501
2;1;2;32.08489
2;1;3;25.66396
2;2;1;24.43501
2;2;2;32.08489
2;2;3;25.66396
2;3;1;24.43501
2;3;2;32.08489
2;3;3;25.66396
2;4;1;38.77797
2;4;2;31.69838
2;4;3;33.65945
2;5;1;31.69098
2;5;2;18.30693
2;5;3;31.71936
2;6;1;38.77797
2;6;2;31.69838
2;6;3;33.65945
2;7;1;31.69098
2;7;2;18.30693
2;7;3;31.71936
2;8;1;31.69098
2;8;2;18.30693
2;8;3;31.71936
2;9;1;38.77797
2;9;2;31.69838
2;9;3;33.65945
2;10;1;31.69098
2;10;2;18.30693
2;10;3;31.71936
2;11;1;39.06303
2;11;2;115.7421
2;11;3;40.06471
2;12;1;39.06303
2;12;2;115.7421
2;12;3;40.06471
2;13;1;39.06303
2;13;2;115.7421
2;13;3;40.06471
2;14;1;39.06303
2;14;2;115.7421
2;14;3;40.06471
3;1;1;88.50524
3;1;2;108.7065
3;1;3;85.45865
3;2;1;88.50524
3;2;2;108.7065
3;2;3;85.45865
3;3;1;88.50524
3;3;2;108.7065
3;3;3;85.45865
3;4;1;237.0128
3;4;2;142.24
3;4;3;133.2619
3;5;1;158.548
3;5;2;58.51223
3;5;3;114.0794
3;6;1;237.0128
3;6;2;142.24
3;6;3;133.2619
3;7;1;158.548
3;7;2;58.51223
3;7;3;114.0794
3;8;1;158.548
3;8;2;58.51223
3;8;3;114.0794
3;9;1;237.0128
3;9;2;142.24
3;9;3;133.2619
3;10;1;158.548
3;10;2;58.51223
3;10;3;114.0794
3;11;1;126.8649
3;11;2;115.7421
3;11;3;98.65707
3;12;1;126.8649
3;12;2;115.7421
3;12;3;98.65707
3;13;1;126.8649
3;13;2;115.7421
3;13;3;98.65707
3;14;1;126.8649
3;14;2;115.7421
3;14;3;98.65707
4;1;1;61.0946
4;1;2;68.27624
4;1;3;54.59793
4;2;1;61.0946
4;2;2;68.27624
4;2;3;54.59793
4;3;1;61.0946
4;3;2;68.27624
4;3;3;54.59793
4;4;1;99.72787
4;4;2;96.61619
4;4;3;107.3411
4;5;1;128.9501
4;5;2;31.50249
4;5;3;82.53973
4;6;1;99.72787
4;6;2;96.61619
4;6;3;107.3411
4;7;1;128.9501
4;7;2;31.50249
4;7;3;82.53973
4;8;1;128.9501
4;8;2;31.50249
4;8;3;82.53973
4;9;1;99.72787
4;9;2;96.61619
4;9;3;107.3411
4;10;1;128.9501
4;10;2;31.50249
4;10;3;82.53973
4;11;1;102.6875
4;11;2;115.7421
4;11;3;126.3561
4;12;1;102.6875
4;12;2;115.7421
4;12;3;126.3561
4;13;1;102.6875
4;13;2;115.7421
4;13;3;126.3561
4;14;1;102.6875
4;14;2;115.7421
4;14;3;126.3561
5;1;1;61.0946
5;1;2;68.27624
5;1;3;54.59793
5;2;1;61.0946
5;2;2;68.27624
5;2;3;54.59793
5;3;1;61.0946
5;3;2;68.27624
5;3;3;54.59793
5;4;1;99.72787
5;4;2;96.61619
5;4;3;107.3411
5;5;1;128.9501
5;5;2;31.50249
5;5;3;82.53973
5;6;1;99.72787
5;6;2;96.61619
5;6;3;107.3411
5;7;1;128.9501
5;7;2;31.50249
5;7;3;82.53973
5;8;1;128.9501
5;8;2;31.50249
5;8;3;82.53973
5;9;1;99.72787
5;9;2;96.61619
5;9;3;107.3411
5;10;1;128.9501
5;10;2;31.50249
5;10;3;82.53973
5;11;1;102.6875
5;11;2;115.7421
5;11;3;126.3561
5;12;1;102.6875
5;12;2;115.7421
5;12;3;126.3561
5;13;1;102.6875
5;13;2;115.7421
5;13;3;126.3561
5;14;1;102.6875
5;14;2;115.7421
5;14;3;126.3561
6;1;1;48.60012
6;1;2;42.2998
6;1;3;46.84401
6;2;1;48.60012
6;2;2;42.2998
6;2;3;46.84401
6;3;1;48.60012
6;3;2;42.2998
6;3;3;46.84401
6;4;1;94.16054
6;4;2;68.9187
6;4;3;71.25649
6;5;1;62.89744
6;5;2;72.46122
6;5;3;96.98974
6;6;1;94.16054
6;6;2;68.9187
6;6;3;71.25649
6;7;1;62.89744
6;7;2;72.46122
6;7;3;96.98974
6;8;1;62.89744
6;8;2;72.46122
6;8;3;96.98974
6;9;1;94.16054
6;9;2;68.9187
6;9;3;71.25649
6;10;1;62.89744
6;10;2;72.46122
6;10;3;96.98974
6;11;1;98.57168
6;11;2;115.7421
6;11;3;107.242
6;12;1;98.57168
6;12;2;115.7421
6;12;3;107.242
6;13;1;98.57168
6;13;2;115.7421
6;13;3;107.242
6;14;1;98.57168
6;14;2;115.7421
6;14;3;107.242
7;1;1;61.0946
7;1;2;68.27624
7;1;3;54.59793
7;2;1;61.0946
7;2;2;68.27624
7;2;3;54.59793
7;3;1;61.0946
7;3;2;68.27624
7;3;3;54.59793
7;4;1;99.72787
7;4;2;96.61619
7;4;3;107.3411
7;5;1;128.9501
7;5;2;31.50249
7;5;3;82.53973
7;6;1;99.72787
7;6;2;96.61619
7;6;3;107.3411
7;7;1;128.9501
7;7;2;31.50249
7;7;3;82.53973
7;8;1;128.9501
7;8;2;31.50249
7;8;3;82.53973
7;9;1;99.72787
7;9;2;96.61619
7;9;3;107.3411
7;10;1;128.9501
7;10;2;31.50249
7;10;3;82.53973
7;11;1;102.6875
7;11;2;115.7421
7;11;3;126.3561
7;12;1;102.6875
7;12;2;115.7421
7;12;3;126.3561
7;13;1;102.6875
7;13;2;115.7421
7;13;3;126.3561
7;14;1;102.6875
7;14;2;115.7421
7;14;3;126.3561
8;1;1;24.43501
8;1;2;32.08489
8;1;3;25.66396
8;2;1;24.43501
8;2;2;32.08489
8;2;3;25.66396
8;3;1;24.43501
8;3;2;32.08489
8;3;3;25.66396
8;4;1;38.77797
8;4;2;31.69838
8;4;3;33.65945
8;5;1;31.69098
8;5;2;18.30693
8;5;3;31.71936
8;6;1;38.77797
8;6;2;31.69838
8;6;3;33.65945
8;7;1;31.69098
8;7;2;18.30693
8;7;3;31.71936
8;8;1;31.69098
8;8;2;18.30693
8;8;3;31.71936
8;9;1;38.77797
8;9;2;31.69838
8;9;3;33.65945
8;10;1;31.69098
8;10;2;18.30693
8;10;3;31.71936
8;11;1;39.06303
8;11;2;115.7421
8;11;3;40.06471
8;12;1;39.06303
8;12;2;115.7421
8;12;3;40.06471
8;13;1;39.06303
8;13;2;115.7421
8;13;3;40.06471
8;14;1;39.06303
8;14;2;115.7421
8;14;3;40.06471
9;1;1;24.43501
9;1;2;32.08489
9;1;3;25.66396
9;2;1;24.43501
9;2;2;32.08489
9;2;3;25.66396
9;3;1;24.43501
9;3;2;32.08489
9;3;3;25.66396
9;4;1;38.77797
9;4;2;31.69838
9;4;3;33.65945
9;5;1;31.69098
9;5;2;18.30693
9;5;3;31.71936
9;6;1;38.77797
9;6;2;31.69838
9;6;3;33.65945
9;7;1;31.69098
9;7;2;18.30693
9;7;3;31.71936
9;8;1;31.69098
9;8;2;18.30693
9;8;3;31.71936
9;9;1;38.77797
9;9;2;31.69838
9;9;3;33.65945
9;10;1;31.69098
9;10;2;18.30693
9;10;3;31.71936
9;11;1;39.06303
9;11;2;115.7421
9;11;3;40.06471
9;12;1;39.06303
9;12;2;115.7421
9;12;3;40.06471
9;13;1;39.06303
9;13;2;115.7421
9;13;3;40.06471
9;14;1;39.06303
9;14;2;115.7421
9;14;3;40.06471
10;1;1;24.43501
10;1;2;32.08489
10;1;3;25.66396
10;2;1;24.43501
10;2;2;32.08489
10;2;3;25.66396
10;3;1;24.43501
10;3;2;32.08489
10;3;3;25.66396
10;4;1;38.77797
10;4;2;31.69838
10;4;3;33.65945
10;5;1;31.69098
10;5;2;18.30693
10;5;3;31.71936
10;6;1;38.77797
10;6;2;31.69838
10;6;3;33.65945
10;7;1;31.69098
10;7;2;18.30693
10;7;3;31.71936
10;8;1;31.69098
10;8;2;18.30693
10;8;3;31.71936
10;9;1;38.77797
10;9;2;31.69838
10;9;3;33.65945
10;10;1;31.69098
10;10;2;18.30693
10;10;3;31.71936
10;11;1;39.06303
10;11;2;115.7421
10;11;3;40.06471
10;12;1;39.06303
10;12;2;115.7421
10;12;3;40.06471
10;13;1;39.06303
10;13;2;115.7421
10;13;3;40.06471
10;14;1;39.06303
10;14;2;115.7421
10;14;3;40.06471
11;1;1;46.71853
11;1;2;37.09286
11;1;3;51.43479
11;2;1;46.71853
11;2;2;37.09286
11;2;3;51.43479
11;3;1;46.71853
11;3;2;37.09286
11;3;3;51.43479
11;4;1;87.26598
11;4;2;145.2168
11;4;3;42.45198
11;5;1;122.2412
11;5;2;58.51223
11;5;3;84.27663
11;6;1;87.26598
11;6;2;145.2168
11;6;3;42.45198
11;7;1;122.2412
11;7;2;58.51223
11;7;3;84.27663
11;8;1;122.2412
11;8;2;58.51223
11;8;3;84.27663
11;9;1;87.26598
11;9;2;145.2168
11;9;3;42.45198
11;10;1;122.2412
11;10;2;58.51223
11;10;3;84.27663
11;11;1;126.8649
11;11;2;115.7421
11;11;3;53.9071
11;12;1;126.8649
11;12;2;115.7421
11;12;3;53.9071
11;13;1;126.8649
11;13;2;115.7421
11;13;3;53.9071
11;14;1;126.8649
11;14;2;115.7421
11;14;3;53.9071
12;1;1;46.71853
12;1;2;37.09286
12;1;3;51.43479
12;2;1;46.71853
12;2;2;37.09286
12;2;3;51.43479
12;3;1;46.71853
12;3;2;37.09286
12;3;3;51.43479
12;4;1;87.26598
12;4;2;145.2168
12;4;3;42.45198
12;5;1;122.2412
12;5;2;58.51223
12;5;3;84.27663
12;6;1;87.26598
12;6;2;145.2168
12;6;3;42.45198
12;7;1;122.2412
12;7;2;58.51223
12;7;3;84.27663
12;8;1;122.2412
12;8;2;58.51223
12;8;3;84.27663
12;9;1;87.26598
12;9;2;145.2168
12;9;3;42.45198
