smaf;inf;avq;avd
1;0.01;0.26;0.46
2;0.02;0.27;1.87
3;0.23;0.48;1.96
4;0.15;0.57;2.03
5;0.29;0.67;2.03
6;0.31;0.68;2.03
7;0.33;1.08;2.03
8;0.38;1.24;2.03
9;0.43;2.29;2.07
10;0.48;2.29;2.03
11;0.58;2.61;2.03
12;0.47;2.54;2.03
13;0.69;2.62;2.03
14;0.95;3.08;2.03
