region_id;annee;nb_places;nb_usagers;cout_place;cah
1;2015;505;1;0;0
1;2016;487;1;0;0
1;2017;484;0;0;0
1;2018;484;0;0;0
1;2019;410;1;465740;18518
2;2015;887;7;0;0
2;2016;858;9;0;0
2;2017;871;4;0;0
2;2018;750;3;0;0
2;2019;770;4;465740;18518
3;2015;2336;80;0;0
3;2016;2317;89;0;0
3;2017;2271;48;0;0
3;2018;2571;49;0;0
3;2019;2571;52;465740;18518
4;2015;1023;13;0;0
4;2016;1023;12;0;0
4;2017;1022;13;0;0
4;2018;1070;8;0;0
4;2019;971;8;465740;18518
5;2015;929;153;0;0
5;2016;994;161;0;0
5;2017;918;159;0;0
5;2018;916;160;0;0
5;2019;912;165;465740;18518
6;2015;7322;523;0;0
6;2016;5804;503;0;0
6;2017;6555;433;0;0
6;2018;6700;259;0;0
6;2019;6938;218;465740;18518
7;2015;717;49;0;0
7;2016;654;39;0;0
7;2017;663;13;0;0
7;2018;651;8;0;0
7;2019;601;16;465740;18518
8;2015;392;13;0;0
8;2016;365;13;0;0
8;2017;386;11;0;0
8;2018;388;11;0;0
8;2019;388;12;465740;18518
9;2015;230;131;0;0
9;2016;205;113;0;0
9;2017;223;115;0;0
9;2018;186;119;0;0
9;2019;177;122;465740;18518
10;2015;31;0;0;0
10;2016;31;0;0;0
10;2017;31;0;0;0
10;2018;31;0;0;0
10;2019;31;0;465740;18518
11;2015;296;65;0;0
11;2016;255;68;0;0
11;2017;236;66;0;0
11;2018;236;68;0;0
11;2019;236;72;465740;18518
12;2015;534;125;0;0
12;2016;536;114;0;0
12;2017;586;103;0;0
12;2018;581;100;0;0
12;2019;567;99;465740;18518
13;2015;533;29;0;0
13;2016;533;27;0;0
13;2017;533;23;0;0
13;2018;533;21;0;0
13;2019;531;24;465740;18518
14;2015;549;27;0;0
14;2016;535;13;0;0
14;2017;533;8;0;0
14;2018;560;8;0;0
14;2019;560;14;465740;18518
15;2015;1003;158;0;0
15;2016;885;139;0;0
15;2017;907;116;0;0
15;2018;908;117;0;0
15;2019;925;128;465740;18518
16;2015;2068;49;0;0
16;2016;1920;48;0;0
16;2017;1942;35;0;0
16;2018;1968;42;0;0
16;2019;2110;64;465740;18518
17;2015;44;0;0;0
17;2016;42;0;0;0
17;2017;42;0;0;0
17;2018;17;0;0;0
17;2019;54;0;465740;18518
18;2015;0;0;0;0
18;2016;0;0;0;0
18;2017;0;0;0;0
18;2018;0;0;0;0
18;2019;0;0;465740;18518
