region_id;iso_smaf;gr_age;sans_services;dom;rpa;ri;nsa;chsld
1;1;1;490;155;0;14;0;0
1;1;2;128;58;6;0;0;0
1;1;3;909;446;153;8;0;0
1;2;1;140;92;5;5;0;0
1;2;2;37;31;5;0;0;0
1;2;3;294;144;61;0;0;0
1;3;1;52;7;0;5;0;0
1;3;2;24;0;7;0;0;0
1;3;3;161;51;126;7;0;0
1;4;1;96;132;11;5;0;0
1;4;2;55;66;9;0;0;0
1;4;3;466;393;297;8;0;0
1;5;1;211;37;0;41;0;0
1;5;2;25;14;11;5;0;0
1;5;3;241;116;157;13;0;0
1;6;1;22;9;5;6;0;0
1;6;2;9;5;5;0;0;0
1;6;3;225;96;310;16;0;8
1;7;1;142;15;5;35;0;0
1;7;2;24;12;9;13;0;0
1;7;3;218;82;147;50;0;5
1;8;1;10;5;0;6;0;0
1;8;2;5;0;5;0;0;0
1;8;3;149;70;226;69;0;19
1;9;1;50;52;13;18;0;15
1;9;2;22;19;0;10;0;6
1;9;3;132;120;157;90;0;34
1;10;1;68;10;5;31;0;7
1;10;2;10;5;6;10;0;0
1;10;3;49;30;67;83;0;87
1;11;1;7;7;0;8;0;5
1;11;2;0;0;5;6;0;5
1;11;3;52;27;64;41;0;177
1;12;1;39;7;0;14;0;5
1;12;2;0;0;0;8;0;5
1;12;3;39;15;73;60;0;121
1;13;1;19;9;0;8;0;14
1;13;2;0;0;5;0;0;11
1;13;3;30;11;24;18;0;166
1;14;1;28;9;0;15;0;11
1;14;2;0;0;0;5;0;6
1;14;3;10;5;8;11;0;138
2;1;1;702;170;5;5;0;0
2;1;2;176;75;6;0;0;0
2;1;3;1294;545;252;5;0;0
2;2;1;219;51;0;5;0;0
2;2;2;30;23;5;0;0;0
2;2;3;307;173;62;0;0;0
2;3;1;69;5;0;10;0;0
2;3;2;12;5;6;0;0;0
2;3;3;122;39;68;0;0;0
2;4;1;178;164;17;0;0;0
2;4;2;65;80;11;0;0;0
2;4;3;568;547;416;0;0;0
2;5;1;301;37;9;55;0;0
2;5;2;30;14;9;5;0;0
2;5;3;234;155;146;15;0;5
2;6;1;16;13;5;7;0;0
2;6;2;16;0;8;0;0;0
2;6;3;187;147;311;13;0;15
2;7;1;158;23;8;31;0;6
2;7;2;23;8;7;17;0;0
2;7;3;201;153;181;88;0;9
2;8;1;9;9;6;5;0;0
2;8;2;5;5;5;5;0;0
2;8;3;116;107;256;94;0;56
2;9;1;41;110;27;36;0;8
2;9;2;9;25;11;8;0;5
2;9;3;109;116;122;54;0;88
2;10;1;41;16;0;15;0;6
2;10;2;9;6;0;6;0;6
2;10;3;70;65;69;54;0;188
2;11;1;11;13;0;11;0;5
2;11;2;5;5;0;0;0;0
2;11;3;39;28;46;27;0;166
2;12;1;46;16;0;15;0;0
2;12;2;5;0;0;6;0;12
2;12;3;53;38;55;44;0;227
2;13;1;19;18;5;7;0;13
2;13;2;0;0;5;0;0;8
2;13;3;29;8;11;7;0;153
2;14;1;20;14;0;13;0;6
2;14;2;0;0;0;0;0;9
2;14;3;11;6;0;0;0;102
3;1;1;976;139;8;60;0;5
3;1;2;229;52;6;5;0;0
3;1;3;2325;623;244;0;0;0
3;2;1;416;63;5;13;0;5
3;2;2;81;16;0;5;0;0
3;2;3;607;168;59;5;0;0
3;3;1;114;7;7;97;0;18
3;3;2;33;5;14;11;0;5
3;3;3;208;58;107;16;0;5
3;4;1;291;178;13;19;0;0
3;4;2;131;93;10;5;0;0
3;4;3;1498;842;537;17;0;0
3;5;1;888;31;21;196;0;20
3;5;2;54;17;30;40;0;6
3;5;3;522;234;216;46;0;9
3;6;1;42;22;16;45;0;16
3;6;2;31;10;7;18;0;9
3;6;3;570;250;526;69;0;79
3;7;1;530;31;20;119;0;15
3;7;2;46;13;6;43;0;8
3;7;3;540;227;265;69;5;74
3;8;1;28;5;5;23;0;15
3;8;2;16;0;5;24;0;6
3;8;3;644;223;591;180;5;253
3;9;1;130;159;29;53;0;73
3;9;2;52;45;9;16;0;32
3;9;3;441;271;319;96;5;335
3;10;1;110;16;7;84;0;12
3;10;2;20;0;0;18;0;14
3;10;3;281;113;170;71;6;446
3;11;1;18;11;0;17;0;12
3;11;2;5;5;0;9;0;10
3;11;3;218;80;148;29;6;496
3;12;1;142;13;5;42;0;13
3;12;2;8;0;0;10;0;11
3;12;3;211;64;135;50;11;501
3;13;1;35;15;5;17;0;49
3;13;2;8;5;0;5;0;23
3;13;3;134;34;38;18;7;525
3;14;1;85;16;0;60;0;22
3;14;2;5;0;0;6;0;11
3;14;3;86;14;26;10;5;386
4;1;1;1367;157;13;23;0;0
4;1;2;456;80;20;0;0;0
4;1;3;3184;758;387;5;0;0
4;2;1;400;55;5;6;0;0
4;2;2;135;31;5;0;0;0
4;2;3;914;237;148;0;0;0
4;3;1;102;9;12;38;0;0
4;3;2;64;5;12;7;0;0
4;3;3;438;88;202;12;0;0
4;4;1;303;147;24;9;0;0
4;4;2;140;91;16;0;0;0
4;4;3;1179;680;648;7;0;0
4;5;1;397;25;11;88;0;0
4;5;2;70;18;19;17;0;0
4;5;3;534;202;237;49;0;5
4;6;1;41;14;15;26;0;5
4;6;2;33;10;8;10;0;0
