region_id;iso_smaf;gr_age;sans_service;dom;rpa;ri;nsa;chsld
1;1;1;1.78e-08;0;0;.9693219;.0306781;0
1;1;2;8.41e-09;0;0;1;1.31e-10;0
1;1;3;3.84e-09;0;0;1;2.22e-10;0
1;2;1;1.78e-08;0;0;.9693219;.0306781;0
1;2;2;8.41e-09;0;0;1;1.31e-10;0
1;2;3;3.84e-09;0;0;1;2.22e-10;0
1;3;1;1.78e-08;0;0;.9693219;.0306781;0
1;3;2;8.41e-09;0;0;1;1.31e-10;0
1;3;3;3.84e-09;0;0;1;2.22e-10;0
1;4;1;1.78e-08;0;0;.9693219;.0306781;0
1;4;2;8.41e-09;0;0;1;1.31e-10;0
1;4;3;3.84e-09;0;0;1;2.22e-10;0
1;5;1;1.78e-08;0;0;.9693219;.0306781;0
1;5;2;8.41e-09;0;0;1;1.31e-10;0
1;5;3;3.84e-09;0;0;1;2.22e-10;0
1;6;1;1.78e-08;0;0;.9693219;.0306781;0
1;6;2;8.41e-09;0;0;1;1.31e-10;0
1;6;3;3.84e-09;0;0;1;2.22e-10;0
1;7;1;1.78e-08;0;0;.9693219;.0306781;0
1;7;2;8.41e-09;0;0;1;1.31e-10;0
1;7;3;3.84e-09;0;0;1;2.22e-10;0
1;8;1;1.78e-08;0;0;.9693219;.0306781;0
1;8;2;8.41e-09;0;0;1;1.31e-10;0
1;8;3;3.84e-09;0;0;1;2.22e-10;0
1;9;1;.9967552;0;0;7.34e-10;.0032447;0
1;9;2;1;0;0;1.61e-09;2.95e-11;0
1;9;3;1;0;0;3.52e-09;1.09e-10;0
1;10;1;.7779501;0;0;.2220499;1.72e-08;0
1;10;2;.6161621;0;0;.3838379;1.24e-16;0
1;10;3;.4229592;0;0;.5770408;3.13e-16;0
1;11;1;.7315447;0;0;.2684553;3.50e-08;0
1;11;2;.5552741;0;0;.4447259;2.41e-16;0
1;11;3;.3631026;0;0;.6368974;5.81e-16;0
1;12;1;.7057037;0;0;.1509167;.1433796;0
1;12;2;.6817872;0;0;.3182128;1.26e-09;0
1;12;3;.4945178;0;0;.5054823;3.36e-09;0
1;13;1;.3960693;0;0;.1039131;.5000176;0
1;13;2;.6358888;0;0;.3641112;7.28e-09;0
1;13;3;.4436497;0;0;.5563503;1.87e-08;0
1;14;1;.5502329;0;0;.449767;2.82e-08;0
1;14;2;.3591953;0;0;.6408046;1.67e-16;0
1;14;3;.203788;0;0;.796212;3.50e-16;0
2;1;1;.7502359;0;0;3.92e-09;.2497641;0
2;1;2;.8987613;0;0;.0081016;.093137;0
2;1;3;.8786119;0;0;.0143267;.1070615;0
2;2;1;.7502359;0;0;3.92e-09;.2497641;0
2;2;2;.8987613;0;0;.0081016;.093137;0
2;2;3;.8786119;0;0;.0143267;.1070615;0
2;3;1;.7502359;0;0;3.92e-09;.2497641;0
2;3;2;.8987613;0;0;.0081016;.093137;0
2;3;3;.8786119;0;0;.0143267;.1070615;0
2;4;1;.7502359;0;0;3.92e-09;.2497641;0
2;4;2;.8987613;0;0;.0081016;.093137;0
2;4;3;.8786119;0;0;.0143267;.1070615;0
2;5;1;.7502359;0;0;3.92e-09;.2497641;0
2;5;2;.8987613;0;0;.0081016;.093137;0
2;5;3;.8786119;0;0;.0143267;.1070615;0
2;6;1;.7502359;0;0;3.92e-09;.2497641;0
2;6;2;.8987613;0;0;.0081016;.093137;0
2;6;3;.8786119;0;0;.0143267;.1070615;0
2;7;1;.7502359;0;0;3.92e-09;.2497641;0
2;7;2;.8987613;0;0;.0081016;.093137;0
2;7;3;.8786119;0;0;.0143267;.1070615;0
2;8;1;5.20e-07;0;0;1.15e-15;.9999995;0
2;8;2;1.67e-06;0;0;6.36e-09;.9999983;0
2;8;3;1.42e-06;0;0;9.79e-09;.9999986;0
2;9;1;.4211989;0;0;3.69e-09;.5788011;0
2;9;2;.6930792;0;0;.0104574;.2964634;0
2;9;3;.6534802;0;0;.0178357;.328684;0
2;10;1;.7187864;0;0;1.51e-08;.2812136;0
2;10;2;.8636456;0;0;.0311781;.1051763;0
2;10;3;.8274705;0;0;.0540364;.1184931;0
2;11;1;.3595235;0;0;1.61e-08;.6404765;0
2;11;2;.612794;0;0;.0473958;.3398102;0
2;11;3;.558049;0;0;.078076;.363875;0
2;12;1;.5334039;0;0;1.03e-08;.4665961;0
2;12;2;.7659447;0;0;.0254966;.2085587;0
2;12;3;.7244324;0;0;.0436217;.2319459;0
2;13;1;.5121817;0;0;3.59e-08;.4878183;0
2;13;2;.7055936;0;0;.0852194;.209187;0
2;13;3;.6381277;0;0;.1394155;.2224568;0
2;14;1;.8697081;0;0;1.08e-14;.1302918;0
2;14;2;.9554451;0;0;2.04e-08;.0445549;0
2;14;3;.9480167;0;0;3.66e-08;.0519833;0
3;1;1;.3563795;0;0;1.87e-15;.6436206;0
3;1;2;.2362471;0;0;1.86e-09;.7637529;0
3;1;3;.2058149;0;0;1.13e-09;.7941852;0
3;2;1;1.39e-07;0;0;6.87e-10;.9999999;0
3;2;2;7.73e-08;0;0;.0005757;.9994243;0
3;2;3;6.48e-08;0;0;.0003342;.9996657;0
3;3;1;.3563795;0;0;1.87e-15;.6436206;0
3;3;2;.2362471;0;0;1.86e-09;.7637529;0
3;3;3;.2058149;0;0;1.13e-09;.7941852;0
3;4;1;2.62e-07;0;0;1.13e-15;.9999998;0
3;4;2;1.46e-07;0;0;9.47e-10;.9999999;0
3;4;3;1.23e-07;0;0;5.50e-10;.9999999;0
3;5;1;.9707078;0;0;1.28e-15;.0292922;0
3;5;2;.9487511;0;0;1.88e-09;.0512489;0
3;5;3;.9394303;0;0;1.29e-09;.0605697;0
3;6;1;.8122648;0;0;1.08e-08;.1877352;0
3;6;2;.6974762;0;0;.0139567;.288567;0
3;6;3;.6632656;0;0;.0091951;.3275393;0
3;7;1;.6218951;0;0;2.48e-09;.378105;0
3;7;2;.4774826;0;0;.0028541;.5196633;0
3;7;3;.4341817;0;0;.001798;.5640202;0
3;8;1;.7021925;0;0;2.29e-09;.2978075;0
3;8;2;.5668646;0;0;.0027794;.430356;0
3;8;3;.5236803;0;0;.0017789;.4745408;0
3;9;1;.5971711;0;0;4.53e-09;.4028289;0
3;9;2;.450676;0;0;.0051279;.5441961;0
3;9;3;.408302;0;0;.0032186;.5884793;0
3;10;1;.7336611;0;0;2.95e-09;.2663389;0
3;10;2;.6039129;0;0;.0036386;.3924484;0
3;10;3;.5618526;0;0;.0023453;.4358021;0
3;11;1;.5971139;0;0;9.66e-10;.4028861;0
3;11;2;.4524425;0;0;.0010985;.546459;0
3;11;3;.409281;0;0;.0006884;.5900306;0
3;12;1;.7251226;0;0;8.51e-10;.2748773;0
3;12;2;.5951197;0;0;.0010481;.4038322;0
3;12;3;.5521309;0;0;.0006737;.4471954;0
3;13;1;.5677288;0;0;1.79e-09;.4322712;0
3;13;2;.4223498;0;0;.0020026;.5756477;0
3;13;3;.380211;0;0;.001249;.61854;0
3;14;1;.6756955;0;0;1.55e-09;.3243044;0
3;14;2;.5368847;0;0;.0018486;.4612666;0
3;14;3;.4931279;0;0;.0011764;.5056957;0
4;1;1;.0562198;0;0;1.50e-07;.9437801;0
4;1;2;.0969553;0;0;9.05e-08;.9030446;0
4;1;3;.0878073;0;0;8.03e-08;.9121926;0
4;2;1;.0562198;0;0;1.50e-07;.9437801;0
4;2;2;.0969553;0;0;9.05e-08;.9030446;0
4;2;3;.0878073;0;0;8.03e-08;.9121926;0
4;3;1;.0562198;0;0;1.50e-07;.9437801;0
4;3;2;.0969553;0;0;9.05e-08;.9030446;0
4;3;3;.0878073;0;0;8.03e-08;.9121926;0
4;4;1;.0562198;0;0;1.50e-07;.9437801;0
4;4;2;.0969553;0;0;9.05e-08;.9030446;0
4;4;3;.0878073;0;0;8.03e-08;.9121926;0
4;5;1;.0562198;0;0;1.50e-07;.9437801;0
4;5;2;.0969553;0;0;9.05e-08;.9030446;0
4;5;3;.0878073;0;0;8.03e-08;.9121926;0
4;6;1;.4162245;0;0;2.55e-07;.5837752;0
4;6;2;.5623761;0;0;1.20e-07;.4376238;0
4;6;3;.5353474;0;0;1.12e-07;.4646525;0
4;7;1;.1543658;0;0;.2759793;.5696549;0
4;7;2;.2722968;0;0;.1701849;.5575183;0
4;7;3;.2566345;0;0;.1572946;.5860709;0
4;8;1;.2466196;0;0;.3055613;.4478191;0
4;8;2;.4097347;0;0;.1774708;.4127945;0
4;8;3;.392394;0;0;.1666736;.4409324;0
4;9;1;.2267777;0;0;.0719643;.7012579;0
4;9;2;.3537814;0;0;.0392469;.6069717;0
4;9;3;.3308636;0;0;.0359948;.6331416;0
4;10;1;.2244424;0;0;.2581005;.5174572;0
4;10;2;.3729711;0;0;.1499383;.4770906;0
