X,Y,Z,Litologia,Al,Ba,C,Ca,Fe,K,Mg,O,Pb,S,Si,V,Zn,Liberacao,Recuperacao
3409.9079882546334,14219.864051878423,318.3696686902987,2.0,0.07,0.01,7.96,13.27,3.83,0.0,8.03,42.74,1.08,0.21,4.08,0.0,18.65,Alta,94.617
3514.440763732246,15390.747676190202,274.17450347534555,1.0,0.16,0.0,10.27,17.12,2.88,0.0,10.38,47.31,0.11,0.0,2.17,0.0,9.51,Alta,82.175
3708.162542942813,13051.518598323199,307.3395164676162,2.0,0.03,0.0,8.62,14.47,4.04,0.0,8.65,44.21,0.09,0.01,3.57,0.01,16.17,Alta,93.33
3730.7853751982866,15230.863571703961,283.46181634368077,1.0,0.04,0.01,11.75,19.66,1.56,0.0,11.84,49.82,0.06,0.03,0.99,0.0,4.16,Moderada,84.495
3835.640603912235,13295.424048796034,265.72651484353884,2.0,0.11,0.0,6.13,10.36,16.42,0.03,6.11,38.22,0.03,2.1,2.9,0.0,17.41,Muito Alta,92.606
3870.102657163835,15075.44523199576,275.25486519463544,1.0,0.58,0.01,10.24,17.15,3.76,0.11,10.32,48.56,0.0,0.0,3.36,0.0,5.81,Moderada,79.968
4128.881410593547,13788.365832009773,339.82184429624465,1.0,0.91,0.02,9.79,16.35,4.53,0.01,9.89,47.41,0.0,0.0,2.66,0.0,8.27,Moderada,77.841
4198.1721576697455,13978.861558597211,308.66109357426717,2.0,0.06,0.05,8.58,14.5,3.25,0.0,8.55,43.95,0.56,0.39,3.83,0.0,16.17,Alta,91.666
4206.057420058613,15256.169731750737,189.48196922932107,1.0,0.03,0.0,9.99,16.87,7.99,0.0,9.99,46.91,0.0,0.0,1.75,0.0,6.4,Baixa,83.341
4240.145714741032,15356.365809215564,271.0455688816501,1.0,0.04,0.02,10.61,17.82,2.63,0.0,10.66,47.81,0.01,0.12,2.01,0.0,8.17,Moderada,90.158
4308.411921552939,14538.101897997627,286.1365680906114,2.0,0.08,0.0,8.23,14.01,3.3,0.0,8.15,43.63,0.01,0.09,4.27,0.0,17.81,Moderada,91.662
4335.139704940403,13775.153992945287,330.12243957649525,0.0,1.69,0.01,8.57,14.47,5.06,0.74,8.57,47.24,0.0,0.0,6.0,0.0,7.52,Baixa,86.652
4456.801987139714,13673.050086313302,295.73613553363305,2.0,0.07,0.02,8.96,15.11,6.66,0.0,8.96,44.7,0.73,0.11,2.59,0.02,11.91,Alta,92.082
4596.525816357652,15382.91888215144,257.7796336756735,1.0,0.1,0.0,9.17,15.36,7.52,0.01,9.24,45.33,0.24,0.03,2.41,0.0,10.44,Muito Alta,86.284
4620.138980762331,13739.861512216614,328.009356803653,2.0,0.15,0.01,8.39,14.02,5.45,0.04,8.46,42.95,1.59,1.33,3.58,0.0,13.54,Muito Alta,91.593
4668.991391098275,14139.599413777096,300.9380767133649,1.0,0.07,0.0,11.49,19.19,1.61,0.0,11.61,49.54,0.0,0.0,1.39,0.0,5.05,Alta,76.876
4685.723231998824,14728.496051603908,378.84118736495276,1.0,0.02,0.51,9.3,15.58,4.21,0.0,9.36,45.58,0.01,0.63,3.49,0.0,10.72,Baixa,88.628
4688.577782637527,15542.699140477396,330.2697828545091,1.0,0.19,0.15,10.06,17.17,6.17,0.01,9.94,46.53,0.09,0.84,1.78,0.0,6.5,Baixa,87.696
4721.896557806694,14764.96566758939,206.97110074275002,1.0,0.03,0.0,9.66,16.11,8.72,0.0,9.76,46.42,0.26,0.04,2.13,0.0,6.75,Moderada,87.454
4760.112034691327,13561.71709759632,348.2938847778575,1.0,0.08,0.0,9.62,16.13,2.7,0.0,9.67,45.66,0.01,0.52,2.72,0.0,12.66,Alta,92.973
4791.9014869668,15080.8594634829,283.5252315668825,2.0,0.01,0.02,8.55,14.31,6.48,0.0,8.61,44.26,0.02,0.04,3.38,0.0,14.29,Baixa,90.003
4792.948190204684,14022.853993441855,256.76227325753126,1.0,0.1,0.01,10.36,17.36,3.51,0.01,10.44,47.44,0.16,0.03,1.98,0.0,8.49,Muito Alta,88.956
4893.686035113704,15017.491267916303,253.37613753033042,1.0,0.15,0.48,9.34,15.59,2.97,0.0,9.45,45.31,0.01,1.2,3.47,0.0,11.31,Moderada,88.245
5162.488312906244,14064.983979401353,358.07083877119715,2.0,0.09,0.01,5.71,9.71,9.16,0.0,5.65,39.01,0.28,0.31,5.57,0.0,24.27,Moderada,96.495
5283.185009402917,15324.53906032366,258.2714741347536,1.0,0.05,0.02,9.76,16.33,5.21,0.0,9.83,46.41,0.43,0.24,2.61,0.0,9.05,Moderada,89.844
5458.594937634885,15836.051959980568,301.90598392777497,2.0,0.29,0.02,8.25,13.85,3.05,0.0,8.28,43.91,0.41,0.36,4.43,0.0,17.07,Alta,91.43
5501.639516587592,15255.889216652566,300.11522426994054,1.0,0.08,0.0,10.54,17.58,2.22,0.0,10.66,47.93,0.0,0.0,2.26,0.0,8.69,Baixa,86.731
5609.453361136682,14007.690527384126,302.23088738270644,1.0,0.06,0.06,11.0,18.39,1.41,0.0,11.09,48.51,0.11,0.07,1.82,0.0,7.32,Muito Alta,90.167
5656.357787756577,14171.090357416018,266.02335945870715,2.0,0.12,0.12,7.7,12.84,5.85,0.0,7.77,42.07,0.98,0.62,3.89,0.0,17.81,Moderada,88.148
5670.436437033379,15492.073222426283,237.3480250085835,1.0,0.02,0.0,10.57,17.68,6.62,0.0,10.66,47.85,0.01,0.0,1.3,0.0,5.24,Moderada,80.809
5934.544224057495,14951.006178825797,192.84956148018364,1.0,0.07,0.01,9.66,16.18,6.94,0.01,9.73,46.12,0.13,0.18,2.07,0.0,8.78,Moderada,89.367
6183.273260840594,18917.456127171787,568.2585476027713,1.0,0.39,0.01,8.55,14.42,14.16,0.04,8.55,44.99,0.01,0.01,2.28,0.0,6.46,Moderada,83.748
6194.981236526155,15703.001165014344,203.39847791317789,1.0,0.04,0.0,11.22,18.75,2.59,0.0,11.32,48.9,0.05,0.0,1.31,0.0,5.74,Alta,86.245
6236.6347865643265,14791.92401523736,284.9478702654396,1.0,0.11,0.1,10.01,17.05,2.9,0.03,9.91,46.59,0.16,0.27,2.41,0.0,10.3,Muito Alta,94.398
