X,Y,Z,Litologia,Al,Ba,C,Ca,Fe,K,Mg,O,Pb,S,Si,V,Zn,Liberacao,Recuperacao
-166.8940313099597,12228.95674234593,387.74518019916724,1.0,0.05,0.02,11.85,19.94,0.86,0.0,11.87,50.34,0.17,0.09,1.62,0.0,2.94,Moderada,73.772
838.2949142488147,12696.063980762885,372.57250258862143,1.0,0.4,0.18,9.87,16.46,4.59,0.06,9.98,47.87,0.3,0.09,3.57,0.0,6.59,Baixa,75.966
1363.0427570496568,12009.047403265871,385.1201202602851,2.0,0.45,0.01,7.68,12.9,9.98,0.06,7.7,43.45,0.02,0.01,3.98,0.0,13.1,Muito Alta,85.23
1558.8067638163316,12780.274924053352,423.3540888887436,1.0,0.04,0.0,8.63,14.45,9.03,0.0,8.7,44.4,0.0,0.0,2.73,0.0,11.67,Baixa,87.594
1583.2524121508222,12507.593197524844,368.99900462513983,2.0,0.05,0.0,7.69,12.84,11.82,0.0,7.77,42.83,0.02,0.02,3.18,0.0,13.7,,88.053
1786.0630101722552,12332.080665497557,395.10024388738145,1.0,0.03,0.01,9.24,15.42,4.12,0.0,9.33,45.6,0.01,0.01,3.26,0.0,12.92,Muito Alta,86.875
1874.394995163369,11420.412144435992,339.5293353285536,0.0,1.18,4.18,5.78,9.65,8.54,0.19,5.83,42.11,0.05,0.98,7.4,0.0,13.75,Muito Alta,86.985
1903.0818384661761,12741.041592912712,427.0347625820642,1.0,0.09,0.01,9.2,15.35,5.06,0.0,9.31,45.24,0.09,0.47,3.02,0.0,11.83,Alta,91.371
1934.978270975611,11070.976930389708,437.39639003686733,1.0,0.02,0.0,9.64,16.14,6.31,0.0,9.72,46.22,0.02,0.0,2.31,0.0,9.54,Baixa,89.3
2162.10263787503,12340.72786717169,410.2950671913751,1.0,0.04,0.0,8.31,13.87,12.29,0.0,8.4,43.94,0.0,0.0,2.45,0.0,10.64,Baixa,89.878
2185.2377015736897,11415.629574385594,368.6649050367132,1.0,0.79,0.0,10.57,17.67,2.51,0.0,10.67,48.19,0.03,0.02,1.88,0.0,7.49,Alta,77.505
2319.138521129774,12617.845687715633,394.04900675712884,1.0,0.07,0.02,10.52,17.69,4.06,0.0,10.56,47.88,0.0,0.01,1.94,0.0,7.21,Baixa,80.559
2579.7088707672333,12829.741666164256,382.8850844234021,2.0,0.23,0.01,7.97,13.31,7.45,0.03,8.05,43.59,0.09,0.02,3.95,0.0,15.1,Muito Alta,94.045
2713.4086274847414,12386.113477934467,373.07799413947373,0.0,0.93,0.0,8.05,13.46,7.1,0.42,8.11,46.69,0.1,0.01,7.49,0.0,7.45,Moderada,88.459
2775.081041875674,12780.620737144645,267.23830253987137,1.0,0.15,0.01,10.64,17.74,2.33,0.02,10.76,47.87,0.06,0.01,1.91,0.0,8.06,Muito Alta,84.674
3291.921788755828,12162.402312231035,293.34295330540556,0.0,1.57,0.01,8.3,13.84,4.62,0.68,8.4,45.98,0.13,0.07,5.47,0.0,10.73,Alta,88.012
