Hbeta Mg2 Mgb Fe5270 Fe5335 Nad C2_4668 Ca4455 Ca4227 G4300 Fe4383 Fe4531 Fe5015 Mg1 Fe5406 Fe5709 Fe5782 TiO1 TiO2
482.7875 489.5125 514.2625 523.315 530.4625 586.0625 461.15 444.5875 421.1 426.6375 435.9125 450.425 494.65 489.5125 537.625 567.2875 576.5375 581.6625 606.6625
484.7875 495.7625 516.1375 524.815 531.5875 587.5625 463.025 445.4625 421.975 428.2625 437.0375 451.425 497.775 495.7625 538.75 569.6625 577.5375 584.9125 614.1625
487.6625 530.1125 519.1375 528.565 535.3375 592.2125 474.275 447.7125 424.1 431.8875 444.2875 456.05 505.4 530.1125 541.5 572.2875 579.7875 603.8625 637.2625
489.1625 536.6125 520.6375 531.815 536.3375 594.8125 475.65 449.2125 425.1 433.5125 445.5375 457.925 506.525 536.6125 542.5 573.6625 581.1625 610.3625 641.5125
484.7875 515.4125 516.0125 524.565 531.2125 587.6875 463.4 445.2125 422.225 428.1375 436.9125 451.425 497.775 506.9125 538.75 569.6625 577.6625 593.6625 618.9625
487.6625 519.6625 519.2625 528.565 535.2125 590.9375 472.025 447.4625 423.475 431.6375 442.0375 455.925 505.4 513.4125 541.5 572.0375 579.6625 599.4125 627.2125
